NumGames,TicTacToeSymmetricEqualityWin,TicTacToeSymmetricEqualityLoss,TicTacToeSymmetricEqualityDraw,StatesInPolicy
10000,5606,3267,1127,522
20000,12757,4884,2359,558
30000,20247,6066,3687,576
40000,27843,7008,5149,583
50000,35648,7786,6566,590
60000,43555,8482,7963,592
70000,51554,9063,9383,594
80000,59545,9672,10783,596
90000,67574,10220,12206,597
100000,75608,10752,13640,598
110000,83689,11252,15059,598
120000,91715,11817,16468,598
130000,99769,12326,17905,600
140000,107899,12814,19287,600
150000,115938,13317,20745,600
160000,124056,13762,22182,600
170000,132144,14222,23634,601
180000,140238,14644,25118,601
190000,148304,15099,26597,601
200000,156452,15534,28014,601
210000,164587,15973,29440,604
220000,172706,16428,30866,604
230000,180742,16895,32363,604
240000,188851,17335,33814,604
250000,197014,17746,35240,606
260000,205152,18210,36638,607
270000,213230,18624,38146,607
280000,221322,19047,39631,608
290000,229487,19471,41042,608
300000,237585,19941,42474,609
310000,245688,20402,43910,609
320000,253827,20842,45331,611
330000,261915,21309,46776,611
340000,270052,21735,48213,611
350000,278186,22201,49613,611
360000,286307,22630,51063,611
370000,294412,23060,52528,611
380000,302592,23488,53920,611
390000,310712,23900,55388,612
400000,318887,24330,56783,613
410000,327093,24765,58142,614
420000,335210,25218,59572,615
430000,343393,25662,60945,615
440000,351527,26094,62379,615
450000,359673,26513,63814,615
460000,367834,26941,65225,615
470000,375924,27385,66691,615
480000,384062,27802,68136,615
490000,392227,28236,69537,616
500000,400347,28656,70997,616
510000,408422,29131,72447,616
520000,416541,29556,73903,616
530000,424720,29961,75319,616
540000,432815,30409,76776,616
550000,440989,30842,78169,616
560000,449155,31254,79591,616
570000,457326,31670,81004,616
580000,465508,32095,82397,616
590000,473722,32518,83760,616
600000,481794,32971,85235,618
610000,489938,33425,86637,618
620000,498074,33847,88079,618
630000,506164,34280,89556,618
640000,514309,34713,90978,618
650000,522459,35162,92379,618
660000,530541,35590,93869,619
670000,538706,35986,95308,619
680000,546880,36412,96708,619
690000,554966,36864,98170,619
700000,563105,37260,99635,619
710000,571230,37706,101064,619
720000,579350,38123,102527,619
730000,587546,38533,103921,619
740000,595774,38949,105277,619
750000,603895,39381,106724,619
760000,612040,39808,108152,619
770000,620265,40230,109505,619
780000,628361,40662,110977,619
790000,636439,41087,112474,619
800000,644562,41502,113936,619
810000,652722,41931,115347,619
820000,660940,42356,116704,619
830000,669079,42818,118103,619
840000,677240,43246,119514,619
850000,685380,43673,120947,619
860000,693546,44133,122321,619
870000,701661,44557,123782,619
880000,709773,45006,125221,619
890000,717916,45449,126635,619
900000,726065,45852,128083,619
910000,734246,46225,129529,619
920000,742436,46651,130913,619
930000,750566,47064,132370,619
940000,758764,47435,133801,619
950000,766889,47859,135252,619
960000,774991,48276,136733,619
970000,783116,48705,138179,619
980000,791279,49154,139567,619
990000,799461,49574,140965,619
1000000,807664,50000,142336,619
