NumGames,TicTacToeSymmetricEqualityWin,TicTacToeSymmetricEqualityLoss,TicTacToeSymmetricEqualityDraw,StatesInPolicy
10000,5448,3204,1348,634
20000,11358,5958,2684,634
30000,17188,8821,3991,635
40000,23093,11627,5280,636
50000,28923,14437,6640,636
60000,34707,17327,7966,636
70000,40550,20125,9325,636
80000,46504,22895,10601,636
90000,52305,25753,11942,636
100000,58050,28626,13324,636
110000,63887,31471,14642,636
120000,69806,34228,15966,636
130000,75685,37058,17257,636
140000,81468,39877,18655,636
150000,87366,42641,19993,636
160000,93158,45480,21362,636
170000,98964,48291,22745,636
180000,104799,51095,24106,636
190000,110660,53913,25427,636
200000,116471,56733,26796,636
210000,122337,59526,28137,636
220000,128274,62234,29492,636
230000,134049,65087,30864,636
240000,139888,67868,32244,636
250000,145750,70667,33583,636
260000,151540,73492,34968,636
270000,157384,76318,36298,636
280000,163246,79127,37627,636
290000,169142,81968,38890,636
300000,175011,84785,40204,636
310000,180803,87631,41566,636
320000,186710,90400,42890,636
330000,192533,93236,44231,636
340000,198402,96097,45501,636
350000,204262,98903,46835,636
360000,210099,101741,48160,636
370000,215983,104540,49477,636
380000,221855,107343,50802,636
390000,227647,110153,52200,636
400000,233467,113012,53521,636
410000,239369,115804,54827,636
420000,245199,118646,56155,636
430000,251013,121522,57465,636
440000,256939,124269,58792,636
450000,262750,127113,60137,636
460000,268639,129873,61488,636
470000,274459,132716,62825,636
480000,280338,135541,64121,636
490000,286188,138316,65496,636
500000,291970,141165,66865,636
510000,297839,143963,68198,636
520000,303784,146682,69534,636
530000,309731,149411,70858,636
540000,315575,152200,72225,636
550000,321465,154914,73621,636
560000,327395,157680,74925,636
570000,333203,160575,76222,636
580000,339048,163415,77537,636
590000,344965,166224,78811,636
600000,350827,169049,80124,636
610000,356726,171780,81494,636
620000,362707,174552,82741,636
630000,368664,177273,84063,636
640000,374552,180094,85354,636
650000,380412,182898,86690,636
660000,386119,185785,88096,636
670000,391960,188566,89474,636
680000,397831,191396,90773,636
690000,403579,194216,92205,636
700000,409405,197050,93545,636
710000,415240,199866,94894,636
720000,421132,202658,96210,636
730000,426989,205491,97520,636
740000,432793,208328,98879,636
750000,438612,211165,100223,636
760000,444383,214027,101590,636
770000,450279,216839,102882,636
780000,456204,219615,104181,636
790000,462025,222431,105544,636
800000,467935,225198,106867,636
810000,473810,227974,108216,636
820000,479638,230780,109582,636
830000,485511,233613,110876,636
840000,491429,236381,112190,636
850000,497205,239187,113608,636
860000,503050,241991,114959,636
870000,508962,244740,116298,636
880000,514731,247612,117657,636
890000,520580,250393,119027,636
900000,526384,253239,120377,636
910000,532252,256012,121736,636
920000,538019,258843,123138,636
930000,543870,261663,124467,636
940000,549833,264429,125738,636
950000,555750,267230,127020,636
960000,561622,269979,128399,636
970000,567525,272686,129789,636
980000,573471,275447,131082,636
990000,579373,278254,132373,636
1000000,585245,281053,133702,636
