NumGames,TicTacToeSymmetricEqualityWin,TicTacToeSymmetricEqualityLoss,TicTacToeSymmetricEqualityDraw,StatesInPolicy
10000,5048,3719,1233,441
20000,11046,6868,2086,504
30000,17572,9601,2827,532
40000,24435,11969,3596,543
50000,31483,13959,4558,554
60000,38876,15504,5620,561
70000,46557,16840,6603,564
80000,54395,18007,7598,572
90000,62306,18949,8745,574
100000,70277,19857,9866,577
110000,78202,20710,11088,579
120000,86110,21431,12459,584
130000,94167,22062,13771,584
140000,102239,22630,15131,584
150000,110384,23119,16497,584
160000,118446,23639,17915,584
170000,126521,24126,19353,586
180000,134664,24595,20741,586
190000,142776,25091,22133,586
200000,150946,25550,23504,586
210000,159101,26010,24889,587
220000,167172,26514,26314,587
230000,175231,27006,27763,589
240000,183302,27489,29209,589
250000,191388,27909,30703,589
260000,199543,28331,32126,589
270000,207697,28796,33507,589
280000,215804,29234,34962,590
290000,223924,29675,36401,590
300000,232038,30107,37855,590
310000,240156,30513,39331,590
320000,248284,30896,40820,590
330000,256427,31299,42274,590
340000,264536,31712,43752,590
350000,272659,32151,45190,590
360000,280758,32548,46694,590
370000,288959,32943,48098,590
380000,297085,33343,49572,590
390000,305239,33746,51015,590
400000,313332,34190,52478,590
410000,321532,34581,53887,590
420000,329640,35051,55309,590
430000,337730,35467,56803,590
440000,345883,35860,58257,590
450000,354101,36242,59657,590
460000,362257,36635,61108,590
470000,370439,37056,62505,590
480000,378522,37456,64022,590
490000,386588,37866,65546,590
500000,394707,38286,67007,590
510000,402831,38686,68483,591
520000,410950,39098,69952,591
530000,419083,39505,71412,592
540000,427187,39898,72915,592
550000,435325,40311,74364,592
560000,443488,40711,75801,592
570000,451579,41109,77312,592
580000,459654,41523,78823,592
590000,467779,41905,80316,592
600000,475845,42328,81827,592
610000,483931,42722,83347,592
620000,492013,43137,84850,592
630000,500206,43517,86277,593
640000,508331,43933,87736,593
650000,516527,44281,89192,593
660000,524735,44653,90612,594
670000,532866,45027,92107,594
680000,541012,45429,93559,594
690000,549228,45806,94966,594
700000,557385,46170,96445,594
710000,565548,46559,97893,594
720000,573701,46939,99360,594
730000,581802,47324,100874,594
740000,590000,47707,102293,594
750000,598172,48074,103754,594
760000,606317,48491,105192,594
770000,614405,48914,106681,594
780000,622477,49338,108185,595
790000,630609,49726,109665,595
800000,638786,50113,111101,595
810000,646959,50495,112546,595
820000,655148,50900,113952,595
830000,663363,51293,115344,595
840000,671506,51666,116828,595
850000,679696,52032,118272,595
860000,687788,52414,119798,595
870000,695866,52794,121340,595
880000,704005,53193,122802,595
890000,712195,53591,124214,595
900000,720375,53969,125656,595
910000,728506,54358,127136,595
920000,736677,54733,128590,595
930000,744842,55133,130025,595
940000,752964,55536,131500,596
950000,761199,55903,132898,596
960000,769332,56291,134377,596
970000,777509,56686,135805,596
980000,785698,57099,137203,596
990000,793888,57472,138640,596
1000000,802113,57809,140078,596
