NumGames,TicTacToeSymmetricEqualityWin,TicTacToeSymmetricEqualityLoss,TicTacToeSymmetricEqualityDraw,StatesInPolicy
10000,6596,2093,1311,587
20000,14158,3117,2725,606
30000,21907,3938,4155,614
40000,29668,4735,5597,618
50000,37485,5466,7049,619
60000,45250,6209,8541,621
70000,53076,6939,9985,621
80000,60940,7624,11436,622
90000,68828,8323,12849,622
100000,76703,8992,14305,622
110000,84523,9711,15766,624
120000,92510,10380,17110,626
130000,100425,11034,18541,626
140000,108320,11675,20005,628
150000,116214,12292,21494,629
160000,124062,12971,22967,630
170000,131982,13599,24419,630
180000,139943,14245,25812,632
190000,147792,14897,27311,632
200000,155698,15519,28783,632
210000,163642,16171,30187,633
220000,171544,16834,31622,633
230000,179451,17477,33072,633
240000,187366,18113,34521,633
250000,195325,18747,35928,633
260000,203211,19382,37407,633
270000,211125,20002,38873,633
280000,219047,20613,40340,633
290000,226978,21231,41791,633
300000,234901,21848,43251,633
310000,242765,22455,44780,633
320000,250764,23063,46173,633
330000,258665,23666,47669,633
340000,266608,24245,49147,633
350000,274624,24847,50529,633
360000,282584,25439,51977,633
370000,290539,26027,53434,633
380000,298481,26631,54888,633
390000,306371,27248,56381,633
400000,314337,27856,57807,633
410000,322185,28526,59289,633
420000,330151,29114,60735,633
430000,338043,29747,62210,633
440000,346016,30351,63633,633
450000,353971,30956,65073,633
460000,361920,31548,66532,633
470000,369860,32143,67997,633
480000,377723,32772,69505,633
490000,385638,33397,70965,633
500000,393631,34002,72367,633
510000,401606,34603,73791,633
520000,409509,35254,75237,633
530000,417486,35818,76696,633
540000,425425,36433,78142,633
550000,433402,37057,79541,633
560000,441325,37669,81006,633
570000,449273,38291,82436,633
580000,457191,38933,83876,633
590000,465103,39554,85343,633
600000,473085,40153,86762,633
610000,481096,40746,88158,633
620000,489018,41401,89581,633
630000,497040,41984,90976,633
640000,505025,42634,92341,633
650000,512942,43275,93783,633
660000,520895,43908,95197,633
670000,528809,44518,96673,633
680000,536744,45135,98121,633
690000,544692,45766,99542,633
700000,552631,46407,100962,633
710000,560538,47031,102431,633
720000,568487,47591,103922,633
730000,576472,48176,105352,633
740000,584361,48810,106829,633
750000,592257,49405,108338,634
760000,600206,50012,109782,634
770000,608122,50672,111206,635
780000,616044,51315,112641,635
790000,623948,51946,114106,635
800000,631911,52607,115482,635
810000,639887,53204,116909,635
820000,647846,53839,118315,635
830000,655814,54471,119715,635
840000,663706,55070,121224,635
850000,671656,55705,122639,635
860000,679595,56273,124132,635
870000,687533,56920,125547,635
880000,695476,57534,126990,635
890000,703430,58129,128441,635
900000,711379,58717,129904,635
910000,719229,59351,131420,635
920000,727297,59927,132776,635
930000,735205,60532,134263,635
940000,743155,61124,135721,635
950000,751089,61719,137192,635
960000,759093,62312,138595,635
970000,767013,62927,140060,635
980000,775020,63492,141488,635
990000,782878,64158,142964,635
1000000,790851,64781,144368,635
