NumGames,TicTacToeSymmetricEqualityWin,TicTacToeSymmetricEqualityLoss,TicTacToeSymmetricEqualityDraw,StatesInPolicy
10000,5938,2796,1266,544
20000,13010,4189,2801,572
30000,20530,5155,4315,578
40000,28374,5884,5742,588
50000,36289,6577,7134,594
60000,44275,7166,8559,596
70000,52258,7745,9997,599
80000,60177,8329,11494,600
90000,68183,8918,12899,601
100000,76171,9491,14338,606
110000,84167,10043,15790,607
120000,92112,10565,17323,608
130000,100147,11117,18736,610
140000,108138,11650,20212,613
150000,116137,12183,21680,613
160000,124124,12748,23128,614
170000,132081,13344,24575,615
180000,140120,13846,26034,616
190000,148167,14389,27444,619
200000,156140,14905,28955,619
210000,164179,15453,30368,619
220000,172183,15967,31850,619
230000,180231,16501,33268,620
240000,188235,17043,34722,620
250000,196251,17587,36162,621
260000,204209,18092,37699,621
270000,212222,18616,39162,622
280000,220228,19153,40619,623
290000,228288,19660,42052,623
300000,236272,20202,43526,623
310000,244259,20750,44991,624
320000,252334,21244,46422,624
330000,260382,21730,47888,625
340000,268356,22266,49378,625
350000,276330,22781,50889,625
360000,284352,23262,52386,626
370000,292385,23721,53894,626
380000,300446,24235,55319,626
390000,308469,24767,56764,626
400000,316515,25292,58193,627
410000,324503,25807,59690,627
420000,332586,26301,61113,627
430000,340540,26836,62624,627
440000,348557,27342,64101,627
450000,356611,27828,65561,627
460000,364604,28331,67065,627
470000,372633,28821,68546,627
480000,380707,29303,69990,627
490000,388755,29859,71386,627
500000,396811,30371,72818,628
510000,404807,30900,74293,628
520000,412847,31407,75746,628
530000,420841,31934,77225,628
540000,428905,32426,78669,628
550000,436991,32906,80103,629
560000,445017,33411,81572,629
570000,453087,33906,83007,629
580000,461065,34394,84541,630
590000,469157,34854,85989,630
600000,477161,35368,87471,630
610000,485161,35879,88960,630
620000,493207,36385,90408,630
630000,501263,36908,91829,630
640000,509317,37381,93302,630
650000,517343,37897,94760,631
660000,525445,38370,96185,632
670000,533537,38834,97629,632
680000,541554,39333,99113,632
690000,549608,39874,100518,632
700000,557667,40356,101977,632
710000,565727,40842,103431,632
720000,573759,41332,104909,632
730000,581817,41835,106348,632
740000,589865,42316,107819,632
750000,597956,42795,109249,632
760000,606009,43277,110714,632
770000,614125,43754,112121,632
780000,622169,44233,113598,632
790000,630247,44744,115009,632
800000,638353,45237,116410,632
810000,646414,45729,117857,632
820000,654422,46226,119352,632
830000,662490,46708,120802,632
840000,670620,47190,122190,632
850000,678762,47626,123612,632
860000,686809,48143,125048,632
870000,694870,48598,126532,632
880000,702878,49085,128037,632
890000,710979,49532,129489,632
900000,719034,50002,130964,632
910000,727111,50491,132398,632
920000,735132,50994,133874,632
930000,743145,51465,135390,632
940000,751228,51947,136825,632
950000,759259,52441,138300,632
960000,767304,52901,139795,632
970000,775363,53388,141249,632
980000,783457,53852,142691,632
990000,791607,54329,144064,632
1000000,799605,54823,145572,632
