NumGames,TicTacToeSymmetricEqualityWin,TicTacToeSymmetricEqualityLoss,TicTacToeSymmetricEqualityDraw,StatesInPolicy
10000,6593,2012,1395,599
20000,13991,3214,2795,619
30000,21510,4322,4168,627
40000,28966,5350,5684,628
50000,36572,6341,7087,628
60000,44148,7350,8502,628
70000,51745,8335,9920,629
80000,59321,9324,11355,631
90000,66894,10263,12843,633
100000,74527,11217,14256,634
110000,82229,12144,15627,634
120000,89882,13082,17036,635
130000,97508,14007,18485,635
140000,105085,14947,19968,635
150000,112717,15883,21400,635
160000,120346,16811,22843,635
170000,127999,17721,24280,635
180000,135677,18635,25688,635
190000,143339,19556,27105,635
200000,150940,20494,28566,635
210000,158712,21409,29879,635
220000,166357,22340,31303,635
230000,174081,23232,32687,635
240000,181746,24161,34093,635
250000,189517,25028,35455,635
260000,197181,25958,36861,635
270000,204790,26892,38318,635
280000,212429,27853,39718,635
290000,220054,28832,41114,635
300000,227690,29796,42514,635
310000,235310,30747,43943,635
320000,242953,31664,45383,636
330000,250586,32603,46811,636
340000,258191,33549,48260,636
350000,265881,34479,49640,636
360000,273578,35355,51067,636
370000,281281,36215,52504,636
380000,289055,37078,53867,636
390000,296732,37995,55273,636
400000,304435,38853,56712,636
410000,312133,39751,58116,636
420000,319814,40641,59545,636
430000,327404,41559,61037,636
440000,335022,42491,62487,636
450000,342743,43382,63875,636
460000,350416,44290,65294,636
470000,358095,45215,66690,636
480000,365741,46144,68115,636
490000,373458,47004,69538,636
500000,381109,47926,70965,636
510000,388774,48846,72380,636
520000,396401,49807,73792,636
530000,404053,50726,75221,636
540000,411775,51647,76578,636
550000,419457,52552,77991,636
560000,427213,53424,79363,636
570000,434796,54347,80857,636
580000,442520,55222,82258,636
590000,450154,56178,83668,636
600000,457728,57148,85124,636
610000,465325,58078,86597,636
620000,473040,58987,87973,636
630000,480658,59956,89386,636
640000,488380,60837,90783,636
650000,496081,61680,92239,636
660000,503716,62621,93663,636
670000,511342,63558,95100,636
680000,519005,64490,96505,636
690000,526656,65443,97901,636
700000,534350,66338,99312,636
710000,541991,67243,100766,636
720000,549647,68161,102192,636
730000,557305,69101,103594,636
740000,564980,70025,104995,636
750000,572741,70900,106359,636
760000,580419,71812,107769,636
770000,588101,72753,109146,636
780000,595749,73688,110563,636
790000,603375,74651,111974,636
800000,611054,75591,113355,636
810000,618676,76515,114809,636
820000,626320,77448,116232,636
830000,633986,78361,117653,636
840000,641623,79288,119089,636
850000,649226,80212,120562,636
860000,656795,81161,122044,636
870000,664450,82096,123454,636
880000,672191,82985,124824,636
890000,679886,83909,126205,636
900000,687535,84830,127635,636
910000,695227,85751,129022,636
920000,702929,86665,130406,636
930000,710647,87602,131751,636
940000,718379,88461,133160,636
950000,726038,89400,134562,636
960000,733735,90292,135973,636
970000,741368,91217,137415,636
980000,749038,92098,138864,636
990000,756678,93044,140278,636
1000000,764314,93950,141736,636
