Epsilon,ChungToiWin,ChungToiLoss,ChungToiDraw,StatesInPolicy
0,32912,32875,14213,150181
0.01,33883,29562,16555,148571
0.02,34474,29848,15678,153900
0.03,34324,29303,16373,155230
0.04,34304,28076,17620,152808
0.05,35052,27217,17731,152415
0.06,35293,27358,17349,159027
0.07,35972,27193,16835,156989
0.08,35951,26756,17293,159181
0.09,35651,26782,17567,157779
0.1,36530,26399,17071,160753
0.11,36682,26118,17200,162148
0.12,36433,26363,17204,163674
0.13,36957,25945,17098,161843
0.14,36823,25806,17371,161797
0.15,36758,26033,17209,165246
0.16,36974,26003,17023,165251
0.17,37219,25845,16936,167908
0.18,36417,26512,17071,169544
0.19,36138,26389,17473,170129
0.2,36912,26385,16703,171304
0.21,36345,26492,17163,172081
0.22,35979,27022,16999,173782
0.23,36272,26982,16746,174652
0.24,36392,26529,17079,174121
0.25,37111,26039,16850,173686
0.26,36187,26967,16846,176598
0.27,36668,26687,16645,176085
0.28,36702,26523,16775,176150
0.29,36356,27225,16419,180678
0.3,36587,26727,16686,178859
0.31,36063,27704,16233,181940
0.32,36235,27211,16554,180414
0.33,36896,26801,16303,181115
0.34,36135,27397,16468,182308
0.35,36560,27146,16294,182574
0.36,36553,27290,16157,182838
0.37,36587,27287,16126,184124
0.38,35921,28155,15924,187234
0.39,36406,27505,16089,185859
0.4,36022,27943,16035,186877
0.41,35405,28383,16212,189999
0.42,36260,28037,15703,187892
0.43,35553,28488,15959,191303
0.44,35845,28072,16083,190850
0.45,35495,28561,15944,192549
0.46,35571,28712,15717,191842
0.47,35326,29006,15668,194842
0.48,35379,28790,15831,195323
0.49,35205,29102,15693,195984
0.5,35547,28553,15900,195781
0.51,35474,29022,15504,196837
0.52,35335,29098,15567,198443
0.53,35535,28957,15508,197775
0.54,35155,29325,15520,200064
0.55,35254,29172,15574,199173
0.56,35210,29261,15529,200627
0.57,35237,29237,15526,200667
0.58,35344,29344,15312,201700
0.59,34854,29700,15446,203101
0.6,34887,29757,15356,203166
0.61,34974,29760,15266,204018
0.62,35263,29533,15204,204527
0.63,34636,29949,15415,205468
0.64,34781,29993,15226,206217
0.65,34788,30030,15182,207038
0.66,34675,30215,15110,207130
0.67,34456,30422,15122,208666
0.68,34487,30417,15096,209426
0.69,34157,30716,15127,210038
0.7,34588,30253,15159,210555
0.71,34595,30471,14934,210971
0.72,34291,30661,15048,211159
0.73,34151,30716,15133,211920
0.74,34109,30757,15134,212768
0.75,34090,30886,15024,213291
0.76,34357,30595,15048,213163
0.77,34261,30970,14769,214446
0.78,34133,31088,14779,214536
0.79,34070,31179,14751,215576
0.8,33971,31126,14903,216326
0.81,33887,31111,15002,216481
0.82,33760,31262,14978,216525
0.83,33842,31505,14653,217680
0.84,33750,31339,14911,217961
0.85,33662,31703,14635,218219
0.86,33340,31858,14802,219133
0.87,33617,31628,14755,219051
0.88,33602,31904,14494,219279
0.89,33475,31728,14797,220102
0.9,33211,32198,14591,220066
0.91,33506,31841,14653,220905
0.92,33319,31990,14691,220845
0.93,33144,32167,14689,221678
0.94,33165,32124,14711,221743
0.95,33236,32177,14587,222304
0.96,33052,32428,14520,221924
0.97,32616,32845,14539,222374
0.98,33026,32434,14540,222787
0.99,32969,32516,14515,222731
1,32749,32892,14359,222864
