Epsilon,ChungToiWin,ChungToiLoss,ChungToiDraw,StatesInPolicy
0,20626,20080,9294,129565
0.01,22106,19218,8676,129747
0.02,21601,19132,9267,130186
0.03,21648,18164,10188,129192
0.04,21036,18394,10570,130228
0.05,20881,18375,10744,129607
0.06,21328,17942,10730,130370
0.07,21089,17862,11049,135504
0.08,21439,17744,10817,134832
0.09,21654,17586,10760,134345
0.1,22015,17681,10304,135545
0.11,21905,17479,10616,136010
0.12,22086,17478,10436,137497
0.13,22214,17345,10441,137817
0.14,21291,17817,10892,140809
0.15,21619,17518,10863,138453
0.16,21613,17751,10636,139920
0.17,22035,17257,10708,140482
0.18,21685,17673,10642,140158
0.19,21615,17854,10531,143666
0.2,22285,17229,10486,141573
0.21,21923,17710,10367,145508
0.22,21863,17473,10664,142619
0.23,22485,17252,10263,144124
0.24,22092,17580,10328,146840
0.25,22081,17616,10303,145933
0.26,21874,17668,10458,146666
0.27,21686,17832,10482,147478
0.28,22227,17509,10264,148000
0.29,21792,17934,10274,149193
0.3,21582,18095,10323,150269
0.31,21554,18110,10336,150220
0.32,22286,17488,10226,152144
0.33,21837,17856,10307,152339
0.34,21572,18480,9948,155640
0.35,21544,18227,10229,153460
0.36,21896,18107,9997,152901
0.37,21413,18438,10149,156168
0.38,21619,18315,10066,156164
0.39,21677,18415,9908,155610
0.4,21461,18558,9981,158876
0.41,21584,18448,9968,157905
0.42,21426,18717,9857,158951
0.43,21502,18589,9909,158508
0.44,21807,18610,9583,160628
0.45,21368,18773,9859,161527
0.46,21464,18620,9916,161924
0.47,21270,19022,9708,162843
0.48,21602,18635,9763,161254
0.49,21271,18968,9761,163798
0.5,21128,19056,9816,164916
0.51,21346,18954,9700,166084
0.52,21507,18987,9506,164918
0.53,21337,18855,9808,165527
0.54,21365,18949,9686,166636
0.55,21564,19032,9404,167196
0.56,21604,18948,9448,167293
0.57,21330,19141,9529,166936
0.58,21458,18964,9578,168454
0.59,21131,19409,9460,169538
0.6,21340,19341,9319,170234
0.61,21367,19205,9428,169183
0.62,21334,19216,9450,170299
0.63,21249,19362,9389,170773
0.64,21081,19513,9406,171940
0.65,21191,19483,9326,172396
0.66,20961,19605,9434,172914
0.67,21017,19528,9455,174177
0.68,21162,19509,9329,173951
0.69,21066,19581,9353,174166
0.7,20978,19572,9450,175455
0.71,21053,19648,9299,176039
0.72,21065,19661,9274,176950
0.73,21044,19628,9328,176383
0.74,20907,19654,9439,177209
0.75,20912,19685,9403,176893
0.76,20914,19838,9248,177531
0.77,21086,19635,9279,178643
0.78,20814,19833,9353,179011
0.79,20743,20072,9185,179493
0.8,21054,19776,9170,179671
0.81,20871,19810,9319,180024
0.82,20687,20124,9189,180819
0.83,20882,20038,9080,181428
0.84,20595,20074,9331,181995
0.85,20805,20041,9154,181554
0.86,20832,20110,9058,182114
0.87,20644,20237,9119,182848
0.88,20739,20130,9131,183036
0.89,20721,20157,9122,182496
0.9,20801,20257,8942,183397
0.91,20760,20071,9169,183466
0.92,20615,20181,9204,183431
0.93,20585,20367,9048,184606
0.94,20562,20421,9017,184524
0.95,20583,20406,9011,184764
0.96,20637,20375,8988,185026
0.97,20352,20453,9195,185445
0.98,20479,20414,9107,185151
0.99,20485,20518,8997,186718
1,20439,20465,9096,185660
