Epsilon,ChungToiWin,ChungToiLoss,ChungToiDraw,StatesInPolicy
0,42028,41019,16953,159784
0.01,43959,37629,18412,164819
0.02,42772,36231,20997,161523
0.03,42548,35550,21902,165695
0.04,44407,34005,21588,162781
0.05,44488,33351,22161,163276
0.06,44323,33068,22609,164780
0.07,44882,33040,22078,168745
0.08,46408,31908,21684,169247
0.09,46853,31418,21729,170302
0.1,45693,32461,21846,173749
0.11,46270,31841,21889,173291
0.12,47618,31143,21239,172639
0.13,46110,32288,21602,176564
0.14,47331,31005,21664,174949
0.15,47409,30630,21961,174040
0.16,47054,31482,21464,176577
0.17,47574,30961,21465,178231
0.18,47651,30811,21538,178839
0.19,46998,31825,21177,182348
0.2,47008,31632,21360,180797
0.21,46923,31958,21119,184156
0.22,47197,31716,21087,183226
0.23,47731,31255,21014,182607
0.24,46950,32197,20853,187228
0.25,47153,31761,21086,186152
0.26,46553,32539,20908,188598
0.27,47404,32032,20564,188572
0.28,47189,31946,20865,188397
0.29,45647,33272,21081,191390
0.3,46391,32643,20966,190506
0.31,45666,33517,20817,193231
0.32,46955,32566,20479,193796
0.33,46389,33190,20421,193752
0.34,46480,32765,20755,194727
0.35,46865,32668,20467,194034
0.36,46871,32762,20367,195956
0.37,45989,33861,20150,199325
0.38,46011,33757,20232,200446
0.39,45696,34163,20141,200606
0.4,46380,33321,20299,199512
0.41,45983,33716,20301,201028
0.42,45765,34489,19746,203906
0.43,45065,34791,20144,204556
0.44,45833,34435,19732,203795
0.45,45852,34123,20025,204795
0.46,45572,34782,19646,205981
0.47,45252,34983,19765,207744
0.48,45091,35344,19565,208552
0.49,45238,35219,19543,209129
0.5,44754,35575,19671,210878
0.51,45030,35409,19561,210339
0.52,45614,35005,19381,210911
0.53,44698,35781,19521,212483
0.54,44494,36055,19451,213006
0.55,44624,36033,19343,213878
0.56,44384,36297,19319,215028
0.57,45024,35618,19358,214949
0.58,44526,35859,19615,216672
0.59,44761,36226,19013,216781
0.6,44381,36055,19564,217859
0.61,44377,36449,19174,217719
0.62,44217,36597,19186,218967
0.63,43995,36713,19292,220164
0.64,44247,36879,18874,220531
0.65,43782,37133,19085,222150
0.66,43964,36802,19234,222005
0.67,44104,36951,18945,222282
0.68,43861,37114,19025,223837
0.69,43769,37271,18960,223873
0.7,43255,37651,19094,225265
0.71,43887,37568,18545,225316
0.72,43449,37736,18815,226760
0.73,43573,37595,18832,226907
0.74,43128,37836,19036,227355
0.75,42942,38182,18876,228071
0.76,43143,38201,18656,228776
0.77,43079,38416,18505,229077
0.78,43430,38155,18415,229563
0.79,42768,38759,18473,230182
0.8,42775,38475,18750,231021
0.81,42827,38567,18606,231860
0.82,42972,38776,18252,232011
0.83,42351,38927,18722,232341
0.84,42100,39259,18641,233197
0.85,42121,39262,18617,233522
0.86,42463,39265,18272,233503
0.87,42315,39073,18612,234111
0.88,42353,39378,18269,234731
0.89,41998,39586,18416,235402
0.9,41693,40065,18242,235151
0.91,41747,39881,18372,236110
0.92,41818,40028,18154,235582
0.93,41514,40208,18278,236518
0.94,41343,40239,18418,236730
0.95,41403,40503,18094,237162
0.96,41369,40559,18072,237064
0.97,41211,40585,18204,236703
0.98,40876,40677,18447,237607
0.99,40913,40876,18211,237346
1,40803,40982,18215,237819
