Epsilon,ChungToiWin,ChungToiLoss,ChungToiDraw,StatesInPolicy
0,3834,4119,2047,186431
0.01,4973,3409,1618,179653
0.02,5607,2979,1414,181708
0.03,6042,2692,1266,183545
0.04,6448,2353,1199,180292
0.05,6416,2329,1255,183575
0.06,6463,2290,1247,187855
0.07,6509,2251,1240,187002
0.08,6327,2405,1268,192510
0.09,6682,2184,1134,188311
0.1,6463,2387,1150,194323
0.11,6661,2260,1079,195183
0.12,6473,2363,1164,197077
0.13,6919,2068,1013,192945
0.14,6613,2302,1085,198368
0.15,6693,2283,1024,198421
0.16,6780,2165,1055,199249
0.17,6726,2248,1026,202769
0.18,6445,2434,1121,203805
0.19,6733,2213,1054,201845
0.2,6659,2266,1075,205412
0.21,6578,2303,1119,205363
0.22,6668,2247,1085,206566
0.23,6723,2290,987,206864
0.24,6530,2423,1047,209663
0.25,6708,2247,1045,209728
0.26,6563,2418,1019,212215
0.27,6372,2509,1119,213986
0.28,6513,2392,1095,214520
0.29,6270,2616,1114,216680
0.3,6558,2396,1046,216710
0.31,6374,2540,1086,218390
0.32,6611,2345,1044,216263
0.33,6376,2462,1162,219757
0.34,6393,2551,1056,219846
0.35,6186,2714,1100,221984
0.36,6429,2493,1078,221078
0.37,6210,2709,1081,224344
0.38,6301,2621,1078,225022
0.39,6230,2644,1126,225981
0.4,6245,2611,1144,227372
0.41,6313,2566,1121,226382
0.42,6225,2598,1177,228145
0.43,6277,2611,1112,229198
0.44,5988,2817,1195,231235
0.45,6104,2745,1151,232400
0.46,6080,2738,1182,232059
0.47,5966,2787,1247,233723
0.48,6137,2772,1091,233086
0.49,5993,2865,1142,235416
0.5,5930,2886,1184,235577
0.51,5931,2865,1204,236682
0.52,6028,2834,1138,237602
0.53,5895,2925,1180,238698
0.54,5823,2942,1235,239212
0.55,5919,2907,1174,240085
0.56,5817,2957,1226,241216
0.57,5775,3046,1179,242291
0.58,5682,3096,1222,242663
0.59,5778,2984,1238,243374
0.6,5736,3056,1208,244234
0.61,5588,3080,1332,245682
0.62,5589,3191,1220,246875
0.63,5476,3215,1309,247302
0.64,5520,3169,1311,247748
0.65,5462,3257,1281,248749
0.66,5476,3259,1265,248755
0.67,5442,3241,1317,249698
0.68,5371,3319,1310,250804
0.69,5390,3290,1320,251118
0.7,5377,3282,1341,252168
0.71,5323,3285,1392,252717
0.72,5221,3364,1415,253665
0.73,5252,3411,1337,254382
0.74,5255,3381,1364,254992
0.75,5114,3404,1482,255577
0.76,5047,3537,1416,256158
0.77,5127,3464,1409,256641
0.78,5085,3495,1420,256913
0.79,4972,3549,1479,257938
0.8,4971,3484,1545,258496
0.81,4913,3609,1478,258615
0.82,4873,3612,1515,259520
0.83,4899,3580,1521,260438
0.84,4733,3654,1613,260772
0.85,4826,3646,1528,260999
0.86,4706,3684,1610,261718
0.87,4633,3794,1573,262205
0.88,4630,3794,1576,262704
0.89,4619,3812,1569,263187
0.9,4681,3756,1563,263443
0.91,4555,3847,1598,263899
0.92,4582,3759,1659,264026
0.93,4436,3895,1669,264783
0.94,4407,3945,1648,264972
0.95,4436,3898,1666,264994
0.96,4349,3951,1700,265502
0.97,4245,4054,1701,266010
0.98,4173,4109,1718,265986
0.99,4148,4068,1784,266632
1,4101,4104,1795,266503
