NumGames,TicTacToeLimitedActionsWin,TicTacToeLimitedActionsLoss,TicTacToeLimitedActionsDraw,StatesInPolicy
0,0,0,0,0
10000,5406,3201,1393,2281
20000,11305,5777,2918,2521
30000,17252,8242,4506,2612
40000,23222,10695,6083,2656
50000,29251,13044,7705,2672
60000,35313,15423,9264,2684
70000,41314,17753,10933,2692
80000,47404,20105,12491,2699
90000,53440,22434,14126,2704
100000,59482,24742,15776,2712
110000,65507,27109,17384,2714
120000,71636,29429,18935,2715
130000,77759,31725,20516,2719
140000,83859,34009,22132,2724
150000,90007,36300,23693,2727
160000,96056,38655,25289,2728
170000,102084,40996,26920,2728
180000,108178,43295,28527,2728
190000,114247,45577,30176,2729
200000,120365,47897,31738,2729
210000,126505,50169,33326,2729
220000,132601,52450,34949,2729
230000,138730,54745,36525,2730
240000,144801,56993,38206,2731
250000,150899,59285,39816,2731
260000,157005,61562,41433,2731
270000,163142,63888,42970,2731
280000,169279,66129,44592,2731
290000,175332,68433,46235,2732
300000,181406,70812,47782,2732
310000,187543,73137,49320,2732
320000,193675,75371,50954,2732
330000,199763,77666,52571,2732
340000,205891,79968,54141,2732
350000,212100,82175,55725,2732
360000,218297,84426,57277,2732
370000,224509,86637,58854,2732
380000,230702,88939,60359,2732
390000,236806,91254,61940,2732
400000,242838,93570,63592,2732
410000,248969,95831,65200,2732
420000,255155,98015,66830,2732
430000,261279,100333,68388,2732
440000,267384,102621,69995,2732
450000,273540,104857,71603,2732
460000,279731,107093,73176,2732
470000,285832,109353,74815,2732
480000,291925,111669,76406,2732
490000,298037,113969,77994,2732
500000,304105,116291,79604,2732
510000,310259,118566,81175,2732
520000,316290,120902,82808,2732
530000,322400,123173,84427,2732
540000,328472,125448,86080,2732
550000,334617,127729,87654,2732
560000,340809,129930,89261,2732
570000,346936,132189,90875,2732
580000,353004,134530,92466,2732
590000,359193,136735,94072,2732
600000,365261,139025,95714,2732
610000,371357,141315,97328,2732
620000,377500,143619,98881,2732
630000,383598,145906,100496,2732
640000,389616,148249,102135,2732
650000,395688,150564,103748,2732
660000,401780,152817,105403,2732
670000,407876,155107,107017,2732
680000,413972,157403,108625,2732
690000,420177,159600,110223,2732
700000,426209,161935,111856,2732
710000,432296,164265,113439,2732
720000,438422,166513,115065,2732
730000,444555,168810,116635,2732
740000,450624,171119,118257,2732
750000,456787,173378,119835,2732
760000,462883,175682,121435,2732
770000,468974,177986,123040,2732
780000,475111,180201,124688,2732
790000,481271,182406,126323,2732
800000,487343,184682,127975,2732
810000,493455,186976,129569,2732
820000,499407,189358,131235,2732
830000,505477,191587,132936,2732
840000,511568,193916,134516,2732
850000,517685,196149,136166,2732
860000,523766,198498,137736,2732
870000,529821,200755,139424,2732
880000,535892,203111,140997,2732
890000,542085,205387,142528,2732
900000,548209,207673,144118,2732
910000,554401,209952,145647,2732
920000,560548,212187,147265,2732
930000,566628,214462,148910,2732
940000,572738,216722,150540,2732
950000,578828,219065,152107,2732
960000,584929,221355,153716,2732
970000,591101,223591,155308,2732
980000,597280,225815,156905,2732
990000,603437,228126,158437,2732
1000000,609525,230401,160074,2732
