Epsilon,ChungToiWin,ChungToiLoss,ChungToiDraw,StatesInPolicy
0,3678800,4272806,2048394,219465
0.01,7703102,873428,1423470,241180
0.02,7659679,692075,1648246,257548
0.03,7930192,598933,1470875,265904
0.04,7636589,690857,1672554,275292
0.05,7727631,604826,1667543,280944
0.06,7804717,671897,1523386,286434
0.07,7663910,624619,1711471,288246
0.08,7660277,682177,1657546,294264
0.09,7581991,656143,1761866,297758
0.1,7544231,729291,1726478,300517
0.11,7725673,655223,1619104,303579
0.12,7376156,767593,1856251,307379
0.13,7442725,755279,1801996,309248
0.14,7409317,740187,1850496,310742
0.15,7613655,731098,1655247,313872
0.16,7597268,746641,1656091,316488
0.17,7331555,857528,1810917,319916
0.18,7527196,825197,1647607,320898
0.19,7395835,856446,1747719,324174
0.2,7269926,891334,1838740,326019
0.21,7451683,874144,1674173,328183
0.22,7414522,871343,1714135,330180
0.23,7334707,944336,1720957,332564
0.24,7501054,889171,1609775,333523
0.25,7321082,939255,1739663,335312
0.26,7109396,1035401,1855203,337851
0.27,7212164,1025176,1762660,339382
0.28,7347445,992079,1660476,341149
0.29,7182997,1038855,1778148,342319
0.3,7127986,1100392,1771622,344474
0.31,7134664,1086002,1779334,345451
0.32,6965447,1165923,1868630,347321
0.33,7061889,1179994,1758117,348849
0.34,7021615,1155383,1823002,349587
0.35,7140382,1165501,1694117,351095
0.36,6971838,1241701,1786461,352847
0.37,7045793,1214398,1739809,353349
0.38,6968263,1250065,1781672,354496
0.39,6963354,1306665,1729981,355840
0.4,6912626,1335220,1752154,356966
0.41,6864557,1357959,1777484,358133
0.42,6878618,1389619,1731763,358733
0.43,6858915,1386312,1754773,360044
0.44,6865281,1398513,1736206,360768
0.45,6801012,1446093,1752895,361343
0.46,6693133,1517713,1789154,362451
0.47,6716588,1525563,1757849,363452
0.48,6664549,1558794,1776657,364248
0.49,6600351,1610109,1789540,364828
0.5,6606281,1625750,1767969,365647
0.51,6604379,1636775,1758846,366276
0.52,6609384,1637878,1752738,366713
0.53,6500036,1696122,1803842,367334
0.54,6525577,1710926,1763497,368130
0.55,6486420,1748670,1764910,368572
0.56,6444501,1785023,1770476,369283
0.57,6391527,1838551,1769922,369558
0.58,6324906,1878629,1796465,370189
0.59,6338667,1873290,1788043,370525
0.6,6255500,1945794,1798706,371097
0.61,6240471,1973778,1785751,371768
0.62,6228076,1986914,1785010,372143
0.63,6142956,2061397,1795647,372380
0.64,6103812,2093685,1802503,372850
0.65,6114528,2093246,1792226,373384
0.66,6030644,2168672,1800684,373660
0.67,6024506,2179678,1795816,374180
0.68,5955537,2244199,1800264,374648
0.69,5959949,2257362,1782689,374806
0.7,5915645,2296188,1788167,375089
0.71,5834604,2364365,1801031,375520
0.72,5817901,2390237,1791862,375823
0.73,5748587,2453706,1797707,376220
0.74,5716507,2477341,1806152,376412
0.75,5680888,2525134,1793978,376672
0.76,5606613,2587398,1805989,377126
0.77,5573161,2620271,1806568,377303
0.78,5526787,2666997,1806216,377498
0.79,5465083,2728927,1805990,377947
0.8,5409216,2781604,1809180,378264
0.81,5358072,2831374,1810554,378403
0.82,5323636,2867804,1808560,378704
0.83,5266016,2926047,1807937,378774
0.84,5210402,2979169,1810429,379122
0.85,5153808,3035662,1810530,379384
0.86,5093246,3094265,1812489,379493
0.87,5033298,3153557,1813145,379603
0.88,4981134,3211140,1807726,379847
0.89,4902539,3284186,1813275,380092
0.9,4838481,3349363,1812156,380153
0.91,4779795,3406466,1813739,380350
0.92,4712122,3473056,1814822,380329
0.93,4638991,3548521,1812488,380600
0.94,4564467,3620886,1814647,380751
0.95,4493289,3691481,1815230,380851
0.96,4420344,3767245,1812411,380839
0.97,4343636,3843475,1812889,381040
0.98,4263179,3925931,1810890,380957
0.99,4179722,4008073,1812205,381051
1,4093358,4096054,1810588,381154
