Epsilon,Wins,Losses,Draws
0.05,32663,8291,9046
0.060000000000000005,32398,8683,8919
0.07,32971,7577,9452
0.08,32772,7980,9248
0.09,32059,8301,9640
0.1,32398,8159,9443
0.11,32870,7934,9196
0.12,32744,8284,8972
0.13,32477,8564,8959
0.14,32687,8267,9046
0.15000000000000002,32357,8518,9125
0.16000000000000003,32285,8664,9051
0.17000000000000004,32055,8772,9173
0.18000000000000005,31900,9092,9008
0.19000000000000006,31995,9026,8979
