Epsilon,TicTacToeSymmetricEqualityWin,TicTacToeSymmetricEqualityLoss,TicTacToeSymmetricEqualityDraw,StatesInPolicy
0,23569,15801,10630,155
0.01,32634,9858,7508,560
0.02,35771,7415,6814,590
0.03,35902,5195,8903,596
0.04,36821,4747,8432,603
0.05,37472,4867,7661,607
0.06,36141,4788,9071,605
0.07,36802,4362,8836,622
0.08,37298,5006,7696,618
0.09,36864,4337,8799,627
0.1,36532,4862,8606,625
0.11,36380,5250,8370,625
0.12,36521,5386,8093,622
0.13,36550,5377,8073,633
0.14,36529,5368,8103,633
0.15,36116,5344,8540,629
0.16,36292,5374,8334,636
0.17,36287,5389,8324,635
0.18,36221,5696,8083,637
0.19,35618,6080,8302,637
0.2,35994,6085,7921,637
0.21,35773,6396,7831,634
0.22,36072,6140,7788,636
0.23,35542,6305,8153,636
0.24,35076,6637,8287,636
0.25,35309,6827,7864,637
0.26,35156,7104,7740,638
0.27,35149,7133,7718,637
0.28,35131,7155,7714,636
0.29,34911,7297,7792,638
0.3,34893,7603,7504,637
0.31,34399,7810,7791,637
0.32,34243,7987,7770,636
0.33,34228,8120,7652,637
0.34,34154,8320,7526,638
0.35,33683,8619,7698,638
0.36,33479,8714,7807,638
0.37,33922,8799,7279,638
0.38,33552,9141,7307,638
0.39,33410,9174,7416,638
0.4,33037,9456,7507,638
0.41,32929,9694,7377,638
0.42,32768,9664,7568,638
0.43,32863,9931,7206,638
0.44,32485,10252,7263,637
0.45,32496,10270,7234,638
0.46,32387,10451,7162,638
0.47,32138,10641,7221,638
0.48,31801,10997,7202,638
0.49,31969,10929,7102,638
0.5,31399,11398,7203,638
0.51,31420,11440,7140,638
0.52,31026,11742,7232,638
0.53,30983,11947,7070,638
0.54,31012,12051,6937,638
0.55,30490,12581,6929,638
0.56,30475,12415,7110,638
0.57,30427,12692,6881,638
0.58,30050,12851,7099,638
0.59,29704,13300,6996,638
0.6,29875,13072,7053,638
0.61,29667,13497,6836,638
0.62,29352,13661,6987,638
0.63,29125,14012,6863,637
0.64,29100,13978,6922,638
0.65,28947,14065,6988,638
0.66,28630,14421,6949,638
0.67,28458,14739,6803,638
0.68,28320,14850,6830,638
0.69,28302,15094,6604,638
0.7,27852,15540,6608,638
0.71,27478,15779,6743,638
0.72,27673,15676,6651,638
0.73,26959,16242,6799,638
0.74,27020,16308,6672,638
0.75,26856,16378,6766,638
0.76,26631,16476,6893,638
0.77,26359,16935,6706,638
0.78,26327,16935,6738,638
0.79,25852,17380,6768,638
0.8,25887,17544,6569,638
0.81,25519,17771,6710,638
0.82,25449,17858,6693,638
0.83,25241,18248,6511,638
0.84,24938,18430,6632,638
0.85,24665,18719,6616,638
0.86,24750,18724,6526,638
0.87,24564,18785,6651,638
0.88,24213,19181,6606,638
0.89,24019,19350,6631,638
0.9,24008,19480,6512,638
0.91,23715,19744,6541,638
0.92,23474,20048,6478,638
0.93,23072,20398,6530,638
0.94,23131,20543,6326,638
0.95,22857,20629,6514,638
0.96,22656,20865,6479,638
0.97,22277,21264,6459,638
0.98,22155,21404,6441,638
0.99,22013,21702,6285,638
1,21810,21900,6290,638
