Epsilon,TicTacToeSymmetricEqualityWin,TicTacToeSymmetricEqualityLoss,TicTacToeSymmetricEqualityDraw,StatesInPolicy
0,4885,3001,2114,228
0.01,8079,1087,834,573
0.02,8125,627,1248,593
0.03,8181,721,1098,588
0.04,8176,677,1147,594
0.05,8044,710,1246,607
0.06,8180,668,1152,619
0.07,8068,728,1204,618
0.08,8031,702,1267,623
0.09,8067,839,1094,628
0.1,8007,805,1188,623
0.11,7877,889,1234,629
0.12,7882,927,1191,628
0.13,7811,947,1242,632
0.14,7886,914,1200,632
0.15,7739,975,1286,632
0.16,7820,932,1248,632
0.17,7744,1002,1254,634
0.18,7741,1067,1192,632
0.19,7812,973,1215,633
0.2,7613,1124,1263,634
0.21,7570,1164,1266,634
0.22,7549,1202,1249,634
0.23,7599,1143,1258,634
0.24,7513,1269,1218,634
0.25,7629,1189,1182,633
0.26,7437,1325,1238,633
0.27,7501,1271,1228,634
0.28,7493,1359,1148,634
0.29,7385,1343,1272,634
0.3,7340,1412,1248,633
0.31,7220,1502,1278,634
0.32,7181,1568,1251,634
0.33,7182,1532,1286,634
0.34,7090,1625,1285,634
0.35,7108,1605,1287,634
0.36,7096,1677,1227,634
0.37,7011,1712,1277,634
0.38,6959,1731,1310,633
0.39,6960,1771,1269,634
0.4,6918,1859,1223,634
0.41,6966,1817,1217,634
0.42,6865,1873,1262,634
0.43,6806,1906,1288,634
0.44,6630,2103,1267,634
0.45,6647,2011,1342,634
0.46,6635,2110,1255,634
0.47,6594,2172,1234,634
0.48,6534,2230,1236,634
0.49,6571,2185,1244,634
0.5,6427,2281,1292,634
0.51,6481,2231,1288,634
0.52,6351,2366,1283,634
0.53,6284,2390,1326,634
0.54,6294,2397,1309,634
0.55,6266,2478,1256,634
0.56,6211,2478,1311,634
0.57,6166,2532,1302,634
0.58,6074,2624,1302,634
0.59,6117,2616,1267,634
0.6,6061,2633,1306,634
0.61,6033,2660,1307,634
0.62,5942,2817,1241,634
0.63,5928,2833,1239,634
0.64,5937,2871,1192,634
0.65,5956,2764,1280,634
0.66,5812,2961,1227,634
0.67,5739,2968,1293,634
0.68,5749,2983,1268,634
0.69,5670,3065,1265,634
0.7,5579,3152,1269,634
0.71,5526,3197,1277,634
0.72,5551,3090,1359,634
0.73,5445,3249,1306,634
0.74,5511,3238,1251,634
0.75,5422,3278,1300,634
0.76,5431,3337,1232,634
0.77,5349,3372,1279,634
0.78,5333,3415,1252,634
0.79,5285,3371,1344,634
0.8,5171,3567,1262,634
0.81,5184,3544,1272,634
0.82,5109,3585,1306,634
0.83,5139,3620,1241,634
0.84,5059,3697,1244,634
0.85,4961,3764,1275,634
0.86,4964,3721,1315,634
0.87,4873,3816,1311,634
0.88,4842,3938,1220,634
0.89,4885,3878,1237,634
0.9,4771,3939,1290,634
0.91,4663,4061,1276,634
0.92,4676,4056,1268,634
0.93,4619,4125,1256,634
0.94,4566,4197,1237,634
0.95,4561,4112,1327,634
0.96,4558,4151,1291,634
0.97,4451,4264,1285,634
0.98,4445,4300,1255,634
0.99,4417,4279,1304,634
1,4341,4422,1237,634
