Epsilon,NimWin,NimLoss,NimDraw,StatesInPolicy
0.0,63593,36407,0,479
0.01,75301,24699,0,508
0.02,78848,21152,0,511
0.03,76368,23632,0,511
0.04,78560,21440,0,511
0.05,76495,23505,0,511
0.060000000000000005,76701,23299,0,511
0.07,75521,24479,0,511
0.08,77178,22822,0,511
0.09,75956,24044,0,511
0.09999999999999999,76567,23433,0,510
0.10999999999999999,77028,22972,0,511
0.11999999999999998,75567,24433,0,511
0.12999999999999998,75960,24040,0,511
0.13999999999999999,75293,24707,0,511
0.15,74967,25033,0,511
0.16,75582,24418,0,511
0.17,74584,25416,0,511
0.18000000000000002,74104,25896,0,511
0.19000000000000003,74970,25030,0,511
0.20000000000000004,74870,25130,0,511
0.21000000000000005,72868,27132,0,511
0.22000000000000006,74115,25885,0,511
0.23000000000000007,70843,29157,0,511
0.24000000000000007,72544,27456,0,511
0.25000000000000006,73111,26889,0,511
0.26000000000000006,72108,27892,0,511
0.2700000000000001,72122,27878,0,511
0.2800000000000001,71863,28137,0,511
0.2900000000000001,71463,28537,0,511
0.3000000000000001,71359,28641,0,511
0.3100000000000001,71711,28289,0,511
0.3200000000000001,71318,28682,0,511
0.3300000000000001,70475,29525,0,511
0.34000000000000014,70971,29029,0,511
0.35000000000000014,69559,30441,0,511
0.36000000000000015,70116,29884,0,511
0.37000000000000016,69888,30112,0,511
0.38000000000000017,69805,30195,0,511
0.3900000000000002,68728,31272,0,511
0.4000000000000002,68647,31353,0,511
0.4100000000000002,67928,32072,0,511
0.4200000000000002,67997,32003,0,511
0.4300000000000002,68422,31578,0,511
0.4400000000000002,67839,32161,0,511
0.45000000000000023,67750,32250,0,511
0.46000000000000024,67610,32390,0,511
0.47000000000000025,66926,33074,0,511
0.48000000000000026,66581,33419,0,511
0.49000000000000027,66883,33117,0,511
0.5000000000000002,66656,33344,0,511
0.5100000000000002,66148,33852,0,511
0.5200000000000002,64970,35030,0,511
0.5300000000000002,65126,34874,0,511
0.5400000000000003,65024,34976,0,511
0.5500000000000003,64479,35521,0,511
0.5600000000000003,65021,34979,0,511
0.5700000000000003,64014,35986,0,511
0.5800000000000003,64342,35658,0,511
0.5900000000000003,63779,36221,0,511
0.6000000000000003,63401,36599,0,511
0.6100000000000003,63115,36885,0,511
0.6200000000000003,63269,36731,0,511
0.6300000000000003,62711,37289,0,511
0.6400000000000003,61656,38344,0,511
0.6500000000000004,61646,38354,0,511
0.6600000000000004,61466,38534,0,511
0.6700000000000004,61478,38522,0,511
0.6800000000000004,60962,39038,0,511
0.6900000000000004,60696,39304,0,511
0.7000000000000004,60539,39461,0,511
0.7100000000000004,60039,39961,0,511
0.7200000000000004,59671,40329,0,511
0.7300000000000004,59699,40301,0,511
0.7400000000000004,58988,41012,0,511
0.7500000000000004,59053,40947,0,511
0.7600000000000005,58573,41427,0,511
0.7700000000000005,58125,41875,0,511
0.7800000000000005,57552,42448,0,511
0.7900000000000005,57508,42492,0,511
0.8000000000000005,57237,42763,0,511
0.8100000000000005,56813,43187,0,511
0.8200000000000005,56619,43381,0,511
0.8300000000000005,56054,43946,0,511
0.8400000000000005,55683,44317,0,511
0.8500000000000005,55689,44311,0,511
0.8600000000000005,55399,44601,0,511
0.8700000000000006,54560,45440,0,511
0.8800000000000006,54612,45388,0,511
0.8900000000000006,53860,46140,0,511
0.9000000000000006,53683,46317,0,511
0.9100000000000006,53365,46635,0,511
0.9200000000000006,52987,47013,0,511
0.9300000000000006,52571,47429,0,511
0.9400000000000006,52217,47783,0,511
0.9500000000000006,52087,47913,0,511
0.9600000000000006,51474,48526,0,511
0.9700000000000006,51143,48857,0,511
0.9800000000000006,50947,49053,0,511
0.9900000000000007,50159,49841,0,511
1.0,50097,49903,0,511
