Epsilon,NimWin,NimLoss,NimDraw,StatesInPolicy
0.0,2859,2141,0,415
0.01,2150,2850,0,443
0.02,3066,1934,0,426
0.03,3266,1734,0,480
0.04,3363,1637,0,490
0.05,3371,1629,0,474
0.060000000000000005,3615,1385,0,486
0.07,3447,1553,0,475
0.08,3399,1601,0,493
0.09,3521,1479,0,504
0.09999999999999999,3399,1601,0,500
0.10999999999999999,3537,1463,0,490
0.11999999999999998,3392,1608,0,503
0.12999999999999998,3490,1510,0,498
0.13999999999999999,3499,1501,0,504
0.15,3534,1466,0,499
0.16,3496,1504,0,495
0.17,3604,1396,0,495
0.18000000000000002,3661,1339,0,502
0.19000000000000003,3422,1578,0,492
0.20000000000000004,3594,1406,0,508
0.21000000000000005,3562,1438,0,507
0.22000000000000006,3565,1435,0,493
0.23000000000000007,3572,1428,0,500
0.24000000000000007,3582,1418,0,502
0.25000000000000006,3530,1470,0,510
0.26000000000000006,3547,1453,0,503
0.2700000000000001,3501,1499,0,506
0.2800000000000001,3504,1496,0,510
0.2900000000000001,3599,1401,0,510
0.3000000000000001,3470,1530,0,501
0.3100000000000001,3376,1624,0,508
0.3200000000000001,3466,1534,0,508
0.3300000000000001,3476,1524,0,505
0.34000000000000014,3457,1543,0,507
0.35000000000000014,3349,1651,0,496
0.36000000000000015,3404,1596,0,510
0.37000000000000016,3377,1623,0,506
0.38000000000000017,3395,1605,0,505
0.3900000000000002,3336,1664,0,504
0.4000000000000002,3410,1590,0,506
0.4100000000000002,3249,1751,0,504
0.4200000000000002,3361,1639,0,511
0.4300000000000002,3328,1672,0,508
0.4400000000000002,3404,1596,0,503
0.45000000000000023,3357,1643,0,506
0.46000000000000024,3268,1732,0,502
0.47000000000000025,3293,1707,0,505
0.48000000000000026,3333,1667,0,510
0.49000000000000027,3285,1715,0,503
0.5000000000000002,3248,1752,0,511
0.5100000000000002,3253,1747,0,508
0.5200000000000002,3265,1735,0,505
0.5300000000000002,3234,1766,0,509
0.5400000000000003,3229,1771,0,508
0.5500000000000003,3178,1822,0,509
0.5600000000000003,3182,1818,0,509
0.5700000000000003,3199,1801,0,509
0.5800000000000003,3141,1859,0,508
0.5900000000000003,3077,1923,0,507
0.6000000000000003,3205,1795,0,511
0.6100000000000003,3137,1863,0,509
0.6200000000000003,3152,1848,0,503
0.6300000000000003,3094,1906,0,507
0.6400000000000003,3105,1895,0,509
0.6500000000000004,3042,1958,0,508
0.6600000000000004,3125,1875,0,510
0.6700000000000004,3028,1972,0,505
0.6800000000000004,3031,1969,0,507
0.6900000000000004,2987,2013,0,508
0.7000000000000004,2997,2003,0,511
0.7100000000000004,2999,2001,0,508
0.7200000000000004,2966,2034,0,507
0.7300000000000004,2907,2093,0,511
0.7400000000000004,2931,2069,0,509
0.7500000000000004,2901,2099,0,509
0.7600000000000005,2856,2144,0,509
0.7700000000000005,2940,2060,0,506
0.7800000000000005,2887,2113,0,510
0.7900000000000005,2883,2117,0,506
0.8000000000000005,2791,2209,0,504
0.8100000000000005,2814,2186,0,511
0.8200000000000005,2764,2236,0,507
0.8300000000000005,2805,2195,0,508
0.8400000000000005,2747,2253,0,509
0.8500000000000005,2716,2284,0,508
0.8600000000000005,2783,2217,0,511
0.8700000000000006,2676,2324,0,507
0.8800000000000006,2699,2301,0,509
0.8900000000000006,2692,2308,0,508
0.9000000000000006,2698,2302,0,511
0.9100000000000006,2665,2335,0,508
0.9200000000000006,2622,2378,0,509
0.9300000000000006,2543,2457,0,508
0.9400000000000006,2617,2383,0,509
0.9500000000000006,2506,2494,0,509
0.9600000000000006,2565,2435,0,507
0.9700000000000006,2484,2516,0,511
0.9800000000000006,2615,2385,0,511
0.9900000000000007,2539,2461,0,507
1.0,2421,2579,0,506
