Epsilon,NimWin,NimLoss,NimDraw,StatesInPolicy
0,8304,7696,0,967
0.01,10872,5128,0,1235
0.02,10917,5083,0,1233
0.03,11531,4469,0,1287
0.04,11140,4860,0,1261
0.05,11798,4202,0,1311
0.06,11947,4053,0,1277
0.07,11872,4128,0,1290
0.08,11661,4339,0,1305
0.09,12008,3992,0,1248
0.1,11759,4241,0,1303
0.11,11980,4020,0,1312
0.12,11777,4223,0,1283
0.13,11749,4251,0,1319
0.14,11707,4293,0,1304
0.15,11791,4209,0,1307
0.16,12140,3860,0,1292
0.17,11614,4386,0,1311
0.18,11976,4024,0,1316
0.19,11675,4325,0,1304
0.2,11896,4104,0,1312
0.21,11892,4108,0,1303
0.22,11621,4379,0,1299
0.23,11835,4165,0,1311
0.24,11667,4333,0,1299
0.25,11759,4241,0,1324
0.26,11580,4420,0,1310
0.27,11565,4435,0,1302
0.28,11367,4633,0,1316
0.29,11542,4458,0,1324
0.3,11424,4576,0,1294
0.31,11473,4527,0,1307
0.32,11255,4745,0,1324
0.33,11270,4730,0,1315
0.34,11378,4622,0,1327
0.35,11201,4799,0,1320
0.36,11249,4751,0,1328
0.37,11271,4729,0,1317
0.38,11234,4766,0,1311
0.39,11176,4824,0,1323
0.4,11136,4864,0,1322
0.41,10951,5049,0,1322
0.42,10895,5105,0,1323
0.43,10941,5059,0,1325
0.44,10864,5136,0,1322
0.45,10789,5211,0,1322
0.46,10824,5176,0,1327
0.47,10696,5304,0,1323
0.48,10572,5428,0,1324
0.49,10628,5372,0,1313
0.5,10497,5503,0,1314
0.51,10612,5388,0,1322
0.52,10573,5427,0,1317
0.53,10491,5509,0,1322
0.54,10503,5497,0,1326
0.55,10399,5601,0,1324
0.56,10398,5602,0,1325
0.57,10259,5741,0,1325
0.58,10225,5775,0,1319
0.59,10070,5930,0,1325
0.6,10060,5940,0,1324
0.61,10108,5892,0,1330
0.62,9963,6037,0,1327
0.63,10107,5893,0,1326
0.64,9966,6034,0,1330
0.65,9949,6051,0,1328
0.66,9903,6097,0,1327
0.67,9824,6176,0,1323
0.68,9785,6215,0,1327
0.69,9911,6089,0,1316
0.7,9693,6307,0,1326
0.71,9625,6375,0,1327
0.72,9544,6456,0,1324
0.73,9507,6493,0,1329
0.74,9511,6489,0,1328
0.75,9504,6496,0,1328
0.76,9198,6802,0,1323
0.77,9280,6720,0,1328
0.78,9297,6703,0,1326
0.79,9121,6879,0,1319
0.8,9088,6912,0,1328
0.81,9064,6936,0,1323
0.82,8995,7005,0,1328
0.83,8985,7015,0,1329
0.84,9013,6987,0,1328
0.85,8813,7187,0,1323
0.86,8870,7130,0,1324
0.87,8731,7269,0,1325
0.88,8669,7331,0,1330
0.89,8786,7214,0,1327
0.9,8588,7412,0,1327
0.91,8391,7609,0,1326
0.92,8459,7541,0,1328
0.93,8457,7543,0,1328
0.94,8439,7561,0,1328
0.95,8403,7597,0,1328
0.96,8098,7902,0,1326
0.97,8210,7790,0,1328
0.98,8157,7843,0,1324
0.99,8067,7933,0,1325
1,7913,8087,0,1325
