NumGames,NimWin,NimLoss,NimDraw,StatesInPolicy
1000,555,445,0,436
2000,1263,737,0,460
3000,1991,1009,0,476
4000,2719,1281,0,486
5000,3483,1517,0,491
6000,4246,1754,0,497
7000,5010,1990,0,499
8000,5764,2236,0,500
9000,6523,2477,0,502
10000,7258,2742,0,502
11000,8020,2980,0,506
12000,8750,3250,0,506
13000,9481,3519,0,506
14000,10235,3765,0,508
15000,11013,3987,0,508
16000,11755,4245,0,508
17000,12515,4485,0,508
18000,13276,4724,0,509
19000,14022,4978,0,509
20000,14792,5208,0,509
21000,15556,5444,0,509
22000,16290,5710,0,509
23000,17050,5950,0,509
24000,17779,6221,0,509
25000,18553,6447,0,509
26000,19314,6686,0,509
27000,20046,6954,0,509
28000,20800,7200,0,510
29000,21551,7449,0,510
30000,22304,7696,0,510
31000,23044,7956,0,510
32000,23762,8238,0,510
33000,24527,8473,0,510
34000,25296,8704,0,510
35000,26057,8943,0,510
36000,26825,9175,0,510
37000,27578,9422,0,510
38000,28341,9659,0,510
39000,29096,9904,0,510
40000,29876,10124,0,510
41000,30612,10388,0,510
42000,31362,10638,0,510
43000,32123,10877,0,510
44000,32864,11136,0,510
45000,33623,11377,0,510
46000,34386,11614,0,511
47000,35148,11852,0,511
48000,35899,12101,0,511
49000,36650,12350,0,511
50000,37387,12613,0,511
51000,38137,12863,0,511
52000,38901,13099,0,511
53000,39644,13356,0,511
54000,40407,13593,0,511
55000,41163,13837,0,511
56000,41921,14079,0,511
57000,42651,14349,0,511
58000,43405,14595,0,511
59000,44138,14862,0,511
60000,44890,15110,0,511
61000,45660,15340,0,511
62000,46403,15597,0,511
63000,47141,15859,0,511
64000,47895,16105,0,511
65000,48656,16344,0,511
66000,49411,16589,0,511
67000,50152,16848,0,511
68000,50903,17097,0,511
69000,51661,17339,0,511
70000,52403,17597,0,511
71000,53137,17863,0,511
72000,53865,18135,0,511
73000,54609,18391,0,511
74000,55338,18662,0,511
75000,56095,18905,0,511
76000,56855,19145,0,511
77000,57591,19409,0,511
78000,58336,19664,0,511
79000,59110,19890,0,511
80000,59851,20149,0,511
81000,60593,20407,0,511
82000,61337,20663,0,511
83000,62087,20913,0,511
84000,62825,21175,0,511
85000,63574,21426,0,511
86000,64303,21697,0,511
87000,65066,21934,0,511
88000,65828,22172,0,511
89000,66532,22468,0,511
90000,67299,22701,0,511
91000,68053,22947,0,511
92000,68785,23215,0,511
93000,69519,23481,0,511
94000,70303,23697,0,511
95000,71052,23948,0,511
96000,71828,24172,0,511
97000,72561,24439,0,511
98000,73300,24700,0,511
99000,74063,24937,0,511
100000,74811,25189,0,511
