NumGames,NimWin,NimLoss,NimDraw,StatesInPolicy
1000,580,420,0,387
2000,1271,729,0,436
3000,1977,1023,0,463
4000,2715,1285,0,483
5000,3468,1532,0,490
6000,4252,1748,0,490
7000,5032,1968,0,493
8000,5842,2158,0,496
9000,6622,2378,0,499
10000,7382,2618,0,504
11000,8162,2838,0,504
12000,8952,3048,0,504
13000,9720,3280,0,505
14000,10513,3487,0,505
15000,11277,3723,0,506
16000,12075,3925,0,506
17000,12871,4129,0,507
18000,13655,4345,0,507
19000,14430,4570,0,508
20000,15229,4771,0,508
21000,15988,5012,0,508
22000,16735,5265,0,508
23000,17518,5482,0,509
24000,18278,5722,0,509
25000,19046,5954,0,509
26000,19819,6181,0,510
27000,20597,6403,0,510
28000,21333,6667,0,510
29000,22099,6901,0,510
30000,22864,7136,0,510
31000,23659,7341,0,510
32000,24416,7584,0,510
33000,25188,7812,0,510
34000,25945,8055,0,511
35000,26691,8309,0,511
36000,27461,8539,0,511
37000,28238,8762,0,511
38000,29009,8991,0,511
39000,29761,9239,0,511
40000,30532,9468,0,511
41000,31275,9725,0,511
42000,32032,9968,0,511
43000,32794,10206,0,511
44000,33578,10422,0,511
45000,34325,10675,0,511
46000,35094,10906,0,511
47000,35873,11127,0,511
48000,36657,11343,0,511
49000,37419,11581,0,511
50000,38167,11833,0,511
51000,38960,12040,0,511
52000,39747,12253,0,511
53000,40514,12486,0,511
54000,41294,12706,0,511
55000,42069,12931,0,511
56000,42834,13166,0,511
57000,43598,13402,0,511
58000,44356,13644,0,511
59000,45094,13906,0,511
60000,45862,14138,0,511
61000,46607,14393,0,511
62000,47379,14621,0,511
63000,48136,14864,0,511
64000,48907,15093,0,511
65000,49678,15322,0,511
66000,50435,15565,0,511
67000,51196,15804,0,511
68000,51957,16043,0,511
69000,52693,16307,0,511
70000,53472,16528,0,511
71000,54262,16738,0,511
72000,55038,16962,0,511
73000,55775,17225,0,511
74000,56526,17474,0,511
75000,57284,17716,0,511
76000,58035,17965,0,511
77000,58808,18192,0,511
78000,59578,18422,0,511
79000,60366,18634,0,511
80000,61136,18864,0,511
81000,61905,19095,0,511
82000,62647,19353,0,511
83000,63414,19586,0,511
84000,64169,19831,0,511
85000,64943,20057,0,511
86000,65724,20276,0,511
87000,66481,20519,0,511
88000,67255,20745,0,511
89000,68012,20988,0,511
90000,68782,21218,0,511
91000,69539,21461,0,511
92000,70298,21702,0,511
93000,71059,21941,0,511
94000,71834,22166,0,511
95000,72593,22407,0,511
96000,73371,22629,0,511
97000,74145,22855,0,511
98000,74903,23097,0,511
99000,75664,23336,0,511
100000,76444,23556,0,511
