NumGames,NimWin,NimLoss,NimDraw,StatesInPolicy
1000,602,398,0,377
2000,1243,757,0,437
3000,1916,1084,0,459
4000,2628,1372,0,479
5000,3357,1643,0,487
6000,4084,1916,0,491
7000,4818,2182,0,495
8000,5525,2475,0,499
9000,6260,2740,0,500
10000,6990,3010,0,500
11000,7739,3261,0,502
12000,8500,3500,0,502
13000,9265,3735,0,503
14000,10049,3951,0,504
15000,10796,4204,0,506
16000,11551,4449,0,507
17000,12305,4695,0,508
18000,13056,4944,0,509
19000,13793,5207,0,509
20000,14543,5457,0,511
21000,15290,5710,0,511
22000,16065,5935,0,511
23000,16848,6152,0,511
24000,17612,6388,0,511
25000,18390,6610,0,511
26000,19135,6865,0,511
27000,19886,7114,0,511
28000,20653,7347,0,511
29000,21418,7582,0,511
30000,22187,7813,0,511
31000,22986,8014,0,511
32000,23756,8244,0,511
33000,24520,8480,0,511
34000,25288,8712,0,511
35000,26049,8951,0,511
36000,26811,9189,0,511
37000,27556,9444,0,511
38000,28307,9693,0,511
39000,29090,9910,0,511
40000,29865,10135,0,511
41000,30619,10381,0,511
42000,31385,10615,0,511
43000,32153,10847,0,511
44000,32924,11076,0,511
45000,33684,11316,0,511
46000,34444,11556,0,511
47000,35205,11795,0,511
48000,35941,12059,0,511
49000,36706,12294,0,511
50000,37449,12551,0,511
51000,38234,12766,0,511
52000,38998,13002,0,511
53000,39748,13252,0,511
54000,40486,13514,0,511
55000,41257,13743,0,511
56000,42045,13955,0,511
57000,42803,14197,0,511
58000,43595,14405,0,511
59000,44339,14661,0,511
60000,45067,14933,0,511
61000,45829,15171,0,511
62000,46578,15422,0,511
63000,47323,15677,0,511
64000,48081,15919,0,511
65000,48834,16166,0,511
66000,49590,16410,0,511
67000,50346,16654,0,511
68000,51095,16905,0,511
69000,51853,17147,0,511
70000,52603,17397,0,511
71000,53364,17636,0,511
72000,54117,17883,0,511
73000,54858,18142,0,511
74000,55605,18395,0,511
75000,56370,18630,0,511
76000,57110,18890,0,511
77000,57876,19124,0,511
78000,58635,19365,0,511
79000,59392,19608,0,511
80000,60138,19862,0,511
81000,60888,20112,0,511
82000,61652,20348,0,511
83000,62410,20590,0,511
84000,63165,20835,0,511
85000,63923,21077,0,511
86000,64688,21312,0,511
87000,65445,21555,0,511
88000,66218,21782,0,511
89000,66958,22042,0,511
90000,67687,22313,0,511
91000,68461,22539,0,511
92000,69221,22779,0,511
93000,69978,23022,0,511
94000,70697,23303,0,511
95000,71449,23551,0,511
96000,72184,23816,0,511
97000,72946,24054,0,511
98000,73715,24285,0,511
99000,74475,24525,0,511
100000,75235,24765,0,511
