NumGames,NimWin,NimLoss,NimDraw,StatesInPolicy
1000,551,449,0,452
2000,1182,818,0,491
3000,1801,1199,0,504
4000,2423,1577,0,508
5000,3052,1948,0,511
6000,3672,2328,0,511
7000,4305,2695,0,511
8000,4917,3083,0,511
9000,5518,3482,0,511
10000,6151,3849,0,511
11000,6787,4213,0,511
12000,7410,4590,0,511
13000,8003,4997,0,511
14000,8608,5392,0,511
15000,9251,5749,0,511
16000,9880,6120,0,511
17000,10498,6502,0,511
18000,11104,6896,0,511
19000,11730,7270,0,511
20000,12327,7673,0,511
21000,12954,8046,0,511
22000,13576,8424,0,511
23000,14226,8774,0,511
24000,14847,9153,0,511
25000,15461,9539,0,511
26000,16088,9912,0,511
27000,16720,10280,0,511
28000,17350,10650,0,511
29000,17981,11019,0,511
30000,18624,11376,0,511
31000,19254,11746,0,511
32000,19878,12122,0,511
33000,20492,12508,0,511
34000,21135,12865,0,511
35000,21745,13255,0,511
36000,22357,13643,0,511
37000,22975,14025,0,511
38000,23585,14415,0,511
39000,24223,14777,0,511
40000,24825,15175,0,511
41000,25449,15551,0,511
42000,26065,15935,0,511
43000,26693,16307,0,511
44000,27296,16704,0,511
45000,27921,17079,0,511
46000,28546,17454,0,511
47000,29163,17837,0,511
48000,29783,18217,0,511
49000,30403,18597,0,511
50000,31008,18992,0,511
51000,31621,19379,0,511
52000,32221,19779,0,511
53000,32871,20129,0,511
54000,33499,20501,0,511
55000,34131,20869,0,511
56000,34747,21253,0,511
57000,35349,21651,0,511
58000,35976,22024,0,511
59000,36591,22409,0,511
60000,37194,22806,0,511
61000,37808,23192,0,511
62000,38420,23580,0,511
63000,39057,23943,0,511
64000,39695,24305,0,511
65000,40324,24676,0,511
66000,40950,25050,0,511
67000,41550,25450,0,511
68000,42179,25821,0,511
69000,42806,26194,0,511
70000,43449,26551,0,511
71000,44050,26950,0,511
72000,44677,27323,0,511
73000,45271,27729,0,511
74000,45898,28102,0,511
75000,46518,28482,0,511
76000,47141,28859,0,511
77000,47774,29226,0,511
78000,48374,29626,0,511
79000,48994,30006,0,511
80000,49622,30378,0,511
81000,50252,30748,0,511
82000,50887,31113,0,511
83000,51516,31484,0,511
84000,52144,31856,0,511
85000,52765,32235,0,511
86000,53385,32615,0,511
87000,54000,33000,0,511
88000,54625,33375,0,511
89000,55249,33751,0,511
90000,55856,34144,0,511
91000,56499,34501,0,511
92000,57123,34877,0,511
93000,57723,35277,0,511
94000,58355,35645,0,511
95000,58962,36038,0,511
96000,59583,36417,0,511
97000,60201,36799,0,511
98000,60806,37194,0,511
99000,61429,37571,0,511
100000,62042,37958,0,511
