Epsilon,TicTacToeNormalWin,TicTacToeNormalLoss,TicTacToeNormalDraw,StatesInPolicy
0,4855,3908,1237,836
0.01,5098,3244,1658,2025
0.02,5802,2552,1646,2640
0.03,5747,2260,1993,2730
0.04,6291,1847,1862,2704
0.05,6276,1634,2090,2896
0.06,6430,1482,2088,2805
0.07,6300,1518,2182,2977
0.08,6404,1432,2164,3112
0.09,6677,1282,2041,3179
0.1,6603,1313,2084,3218
0.11,6504,1391,2105,3347
0.12,6362,1557,2081,3312
0.13,6427,1527,2046,3457
0.14,6382,1556,2062,3436
0.15,6327,1532,2141,3485
0.16,6585,1549,1866,3562
0.17,6460,1588,1952,3605
0.18,6439,1689,1872,3601
0.19,6341,1780,1879,3664
0.2,6222,1727,2051,3710
0.21,6385,1653,1962,3693
0.22,6392,1772,1836,3776
0.23,6234,1811,1955,3885
0.24,6356,1841,1803,3867
0.25,6158,1850,1992,3894
0.26,6143,1906,1951,3958
0.27,6079,1988,1933,3939
0.28,6230,1896,1874,3948
0.29,6202,1934,1864,4000
0.3,6168,2005,1827,4072
0.31,6177,2042,1781,4078
0.32,6213,2045,1742,4072
0.33,6103,2084,1813,4111
0.34,6103,2104,1793,4164
0.35,6037,2232,1731,4181
0.36,6067,2212,1721,4207
0.37,6134,2170,1696,4219
0.38,5945,2311,1744,4216
0.39,5977,2303,1720,4226
0.4,6016,2323,1661,4280
0.41,6053,2275,1672,4301
0.42,6021,2401,1578,4295
0.43,5865,2471,1664,4317
0.44,5936,2412,1652,4345
0.45,5851,2506,1643,4322
0.46,5886,2461,1653,4354
0.47,5846,2517,1637,4354
0.48,5855,2623,1522,4363
0.49,5849,2536,1615,4381
0.5,5808,2628,1564,4371
0.51,5800,2661,1539,4406
0.52,5701,2718,1581,4389
0.53,5740,2707,1553,4420
0.54,5681,2832,1487,4418
0.55,5713,2821,1466,4440
0.56,5656,2883,1461,4436
0.57,5609,2900,1491,4442
0.58,5579,2868,1553,4457
0.59,5557,2979,1464,4454
0.6,5565,2928,1507,4448
0.61,5503,3005,1492,4473
0.62,5525,3054,1421,4466
0.63,5539,3048,1413,4474
0.64,5515,3069,1416,4474
0.65,5470,3066,1464,4478
0.66,5424,3118,1458,4491
0.67,5307,3237,1456,4491
0.68,5368,3231,1401,4494
0.69,5340,3293,1367,4488
0.7,5262,3362,1376,4506
0.71,5183,3420,1397,4506
0.72,5190,3446,1364,4510
0.73,5069,3474,1457,4503
0.74,5230,3424,1346,4512
0.75,5186,3455,1359,4504
0.76,5087,3597,1316,4508
0.77,5116,3563,1321,4512
0.78,5075,3552,1373,4514
0.79,5075,3582,1343,4515
0.8,4945,3681,1374,4512
0.81,5032,3666,1302,4519
0.82,4918,3724,1358,4516
0.83,4985,3676,1339,4516
0.84,4957,3795,1248,4517
0.85,4905,3769,1326,4515
0.86,4871,3840,1289,4515
0.87,4799,3874,1327,4520
0.88,4775,3971,1254,4519
0.89,4827,3880,1293,4518
0.9,4663,4071,1266,4519
0.91,4675,4103,1222,4518
0.92,4646,4108,1246,4520
0.93,4601,4091,1308,4520
0.94,4647,4089,1264,4520
0.95,4606,4142,1252,4520
0.96,4431,4279,1290,4520
0.97,4464,4321,1215,4520
0.98,4346,4332,1322,4520
0.99,4480,4244,1276,4520
1,4415,4331,1254,4520
