Epsilon,TicTacToeNormalWin,TicTacToeNormalLoss,TicTacToeNormalDraw,StatesInPolicy
0,5019,4033,948,812
0.01,7060,522,2418,3298
0.02,7150,510,2340,3483
0.03,7153,578,2269,3742
0.04,7209,672,2119,3833
0.05,7070,641,2289,3903
0.06,6895,760,2345,3990
0.07,7122,741,2137,4147
0.08,7076,777,2147,4165
0.09,6935,801,2264,4242
0.1,6991,812,2197,4302
0.11,6897,849,2254,4304
0.12,7108,867,2025,4330
0.13,6946,872,2182,4358
0.14,7082,948,1970,4395
0.15,7065,957,1978,4393
0.16,6964,973,2063,4421
0.17,6805,1020,2175,4424
0.18,6955,1056,1989,4450
0.19,6939,1006,2055,4464
0.2,6940,1100,1960,4441
0.21,6850,1119,2031,4463
0.22,6786,1158,2056,4485
0.23,6802,1237,1961,4494
0.24,6765,1252,1983,4498
0.25,6622,1334,2044,4505
0.26,6750,1333,1917,4502
0.27,6727,1380,1893,4508
0.28,6662,1374,1964,4515
0.29,6566,1442,1992,4513
0.3,6705,1464,1831,4513
0.31,6596,1484,1920,4515
0.32,6551,1546,1903,4518
0.33,6546,1570,1884,4520
0.34,6537,1603,1860,4515
0.35,6486,1669,1845,4518
0.36,6539,1682,1779,4519
0.37,6603,1716,1681,4519
0.38,6466,1767,1767,4518
0.39,6467,1765,1768,4520
0.4,6404,1811,1785,4520
0.41,6432,1820,1748,4520
0.42,6331,1961,1708,4520
0.43,6364,1926,1710,4520
0.44,6259,2027,1714,4520
0.45,6320,2019,1661,4520
0.46,6393,2042,1565,4520
0.47,6230,2096,1674,4520
0.48,6155,2147,1698,4520
0.49,6184,2149,1667,4520
0.5,6184,2207,1609,4520
0.51,6196,2255,1549,4520
0.52,6205,2230,1565,4520
0.53,6115,2282,1603,4520
0.54,5978,2372,1650,4520
0.55,6034,2361,1605,4520
0.56,6038,2439,1523,4520
0.57,5983,2482,1535,4520
0.58,5965,2531,1504,4520
0.59,5950,2540,1510,4520
0.6,5902,2586,1512,4520
0.61,5837,2673,1490,4520
0.62,5786,2712,1502,4520
0.63,5846,2709,1445,4520
0.64,5699,2821,1480,4520
0.65,5734,2752,1514,4520
0.66,5607,2871,1522,4520
0.67,5660,2933,1407,4520
0.68,5556,2969,1475,4520
0.69,5580,2945,1475,4520
0.7,5499,3082,1419,4520
0.71,5562,3072,1366,4520
0.72,5435,3136,1429,4520
0.73,5433,3146,1421,4520
0.74,5454,3158,1388,4520
0.75,5390,3294,1316,4520
0.76,5307,3272,1421,4520
0.77,5318,3341,1341,4520
0.78,5203,3369,1428,4520
0.79,5218,3452,1330,4520
0.8,5179,3441,1380,4520
0.81,5170,3457,1373,4520
0.82,5094,3564,1342,4520
0.83,5180,3506,1314,4520
0.84,4926,3726,1348,4520
0.85,5058,3626,1316,4520
0.86,4855,3811,1334,4520
0.87,4908,3750,1342,4520
0.88,4885,3737,1378,4520
0.89,4777,3896,1327,4520
0.9,4770,3865,1365,4520
0.91,4715,3969,1316,4520
0.92,4676,3938,1386,4520
0.93,4696,4016,1288,4520
0.94,4537,4139,1324,4520
0.95,4519,4169,1312,4520
0.96,4531,4195,1274,4520
0.97,4456,4221,1323,4520
0.98,4425,4315,1260,4520
0.99,4367,4388,1245,4520
1,4374,4377,1249,4520
