Epsilon,TicTacToeNormalWin,TicTacToeNormalLoss,TicTacToeNormalDraw,StatesInPolicy
0,4036,4740,1224,787
0.01,4092,4383,1525,2039
0.02,4721,3760,1519,1836
0.03,4799,3785,1416,2182
0.04,4919,3494,1587,2188
0.05,5145,3338,1517,2303
0.06,5253,3189,1558,2441
0.07,5106,3388,1506,2519
0.08,4973,3377,1650,2327
0.09,5042,3195,1763,2470
0.1,5232,2994,1774,2488
0.11,5129,2843,2028,2653
0.12,5277,2959,1764,2600
0.13,5174,3063,1763,2677
0.14,5314,2954,1732,2700
0.15,5250,3073,1677,2695
0.16,5105,3126,1769,2843
0.17,5284,2982,1734,2863
0.18,5119,3153,1728,2879
0.19,5406,2934,1660,2857
0.2,5227,3147,1626,2966
0.21,5204,3067,1729,3132
0.22,5468,2869,1663,3046
0.23,5240,3108,1652,3067
0.24,4966,3282,1752,3152
0.25,5179,3076,1745,3192
0.26,5249,3124,1627,3144
0.27,5252,3193,1555,3261
0.28,5431,3129,1440,3248
0.29,5114,3206,1680,3312
0.3,5200,3141,1659,3285
0.31,5182,3291,1527,3342
0.32,5150,3224,1626,3330
0.33,5144,3206,1650,3349
0.34,5223,3235,1542,3375
0.35,4963,3339,1698,3401
0.36,5161,3223,1616,3423
0.37,5056,3334,1610,3461
0.38,5102,3417,1481,3526
0.39,5164,3378,1458,3527
0.4,5129,3420,1451,3585
0.41,5002,3407,1591,3582
0.42,5061,3392,1547,3670
0.43,5037,3461,1502,3678
0.44,4979,3495,1526,3691
0.45,4951,3523,1526,3777
0.46,5019,3581,1400,3698
0.47,4956,3588,1456,3720
0.48,5026,3504,1470,3758
0.49,5040,3525,1435,3827
0.5,4813,3685,1502,3867
0.51,4934,3612,1454,3841
0.52,4907,3616,1477,3872
0.53,4959,3691,1350,3854
0.54,4824,3675,1501,3941
0.55,4873,3753,1374,3953
0.56,4842,3725,1433,3922
0.57,4800,3758,1442,3936
0.58,4799,3783,1418,4003
0.59,4875,3782,1343,3997
0.6,4874,3706,1420,4036
0.61,4794,3810,1396,4006
0.62,4742,3877,1381,4024
0.63,4821,3855,1324,4077
0.64,4860,3779,1361,4082
0.65,4805,3854,1341,4111
0.66,4768,3885,1347,4159
0.67,4721,3930,1349,4089
0.68,4645,3998,1357,4117
0.69,4683,3975,1342,4186
0.7,4764,3904,1332,4190
0.71,4708,3990,1302,4198
0.72,4656,4035,1309,4198
0.73,4780,3893,1327,4241
0.74,4575,4101,1324,4216
0.75,4624,4003,1373,4230
0.76,4585,4086,1329,4260
0.77,4659,4065,1276,4268
0.78,4592,4146,1262,4269
0.79,4676,4041,1283,4288
0.8,4577,4126,1297,4288
0.81,4513,4223,1264,4299
0.82,4574,4138,1288,4321
0.83,4547,4187,1266,4327
0.84,4577,4168,1255,4328
0.85,4573,4094,1333,4365
0.86,4472,4242,1286,4338
0.87,4590,4142,1268,4356
0.88,4628,4102,1270,4363
0.89,4471,4263,1266,4356
0.9,4528,4246,1226,4382
0.91,4486,4291,1223,4384
0.92,4424,4259,1317,4388
0.93,4518,4223,1259,4391
0.94,4461,4227,1312,4387
0.95,4431,4353,1216,4407
0.96,4423,4315,1262,4411
0.97,4426,4344,1230,4401
0.98,4405,4333,1262,4403
0.99,4376,4327,1297,4419
1,4265,4489,1246,4424
