NumGames,TicTacToeNormalWin,TicTacToeNormalLoss,TicTacToeNormalDraw,StatesInPolicy
10000,5159,3032,1809,2831
20000,11201,4923,3876,3330
30000,17461,6583,5956,3583
40000,23896,7989,8115,3718
50000,30450,9366,10184,3826
60000,37155,10596,12249,3905
70000,43787,11897,14316,3974
80000,50438,13166,16396,4044
90000,57145,14403,18452,4091
100000,63826,15566,20608,4140
110000,70557,16702,22741,4166
120000,77280,17818,24902,4197
130000,83940,18962,27098,4225
140000,90740,20073,29187,4244
150000,97560,21133,31307,4264
160000,104385,22189,33426,4280
170000,111166,23279,35555,4295
180000,117909,24342,37749,4304
190000,124627,25432,39941,4316
200000,131435,26491,42074,4330
210000,138210,27538,44252,4343
220000,144940,28593,46467,4354
230000,151743,29634,48623,4357
240000,158552,30627,50821,4368
250000,165444,31630,52926,4375
260000,172269,32659,55072,4380
270000,179106,33724,57170,4387
280000,185958,34723,59319,4391
290000,192779,35747,61474,4395
300000,199642,36700,63658,4401
310000,206489,37699,65812,4401
320000,213298,38708,67994,4404
330000,220106,39752,70142,4409
340000,226985,40758,72257,4415
350000,233863,41749,74388,4420
360000,240695,42732,76573,4422
370000,247548,43730,78722,4428
380000,254447,44724,80829,4430
390000,261266,45715,83019,4434
400000,268150,46619,85231,4434
410000,274972,47623,87405,4438
420000,281880,48598,89522,4440
430000,288728,49622,91650,4444
440000,295514,50593,93893,4444
450000,302394,51527,96079,4445
460000,309219,52492,98289,4447
470000,316060,53506,100434,4449
480000,322969,54433,102598,4451
490000,329774,55421,104805,4451
500000,336680,56349,106971,4454
510000,343540,57354,109106,4455
520000,350384,58350,111266,4457
530000,357268,59334,113398,4459
540000,364192,60281,115527,4460
550000,371060,61252,117688,4461
560000,377984,62171,119845,4463
570000,384836,63158,122006,4463
580000,391693,64117,124190,4464
590000,398598,65103,126299,4465
600000,405508,66032,128460,4468
610000,412367,66987,130646,4468
620000,419144,67951,132905,4471
630000,425974,68929,135097,4472
640000,432853,69901,137246,4472
650000,439751,70861,139388,4473
660000,446679,71777,141544,4474
670000,453593,72722,143685,4476
680000,460548,73639,145813,4478
690000,467440,74577,147983,4478
700000,474331,75505,150164,4479
710000,481176,76443,152381,4479
720000,488161,77361,154478,4479
730000,495109,78301,156590,4481
740000,501929,79272,158799,4485
750000,508815,80223,160962,4485
760000,515737,81120,163143,4485
770000,522610,82068,165322,4485
780000,529599,82995,167406,4487
790000,536419,84024,169557,4487
800000,543283,84982,171735,4487
810000,550176,85956,173868,4487
820000,557059,86881,176060,4487
830000,563947,87819,178234,4489
840000,570874,88795,180331,4489
850000,577758,89751,182491,4490
860000,584714,90651,184635,4490
870000,591541,91615,186844,4490
880000,598494,92549,188957,4490
890000,605378,93537,191085,4491
900000,612210,94546,193244,4492
910000,619144,95459,195397,4492
920000,626104,96332,197564,4493
930000,632949,97275,199776,4494
940000,639803,98183,202014,4494
950000,646726,99115,204159,4494
960000,653597,99987,206416,4495
970000,660484,100947,208569,4496
980000,667365,101866,210769,4496
990000,674235,102873,212892,4496
1000000,681100,103851,215049,4496
