NumGames,TicTacToeNormalWin,TicTacToeNormalLoss,TicTacToeNormalDraw,StatesInPolicy
10000,4310,3643,2047,1996
20000,9290,6195,4515,2411
30000,15255,8027,6718,2679
40000,21633,9379,8988,2852
50000,28096,10616,11288,2992
60000,34698,11689,13613,3087
70000,41324,12709,15967,3168
80000,48154,13588,18258,3239
90000,54902,14481,20617,3291
100000,61645,15308,23047,3354
110000,68509,16158,25333,3399
120000,75287,16966,27747,3442
130000,82091,17780,30129,3476
140000,88883,18558,32559,3503
150000,95742,19293,34965,3528
160000,102637,19967,37396,3554
170000,109439,20720,39841,3572
180000,116394,21418,42188,3601
190000,123340,22102,44558,3632
200000,130267,22796,46937,3655
210000,137189,23514,49297,3675
220000,144164,24215,51621,3693
230000,151115,24888,53997,3713
240000,158137,25526,56337,3723
250000,165097,26205,58698,3739
260000,172089,26856,61055,3755
270000,179068,27554,63378,3770
280000,186091,28172,65737,3791
290000,193066,28837,68097,3802
300000,200011,29484,70505,3820
310000,207023,30139,72838,3837
320000,213979,30789,75232,3856
330000,220873,31457,77670,3866
340000,227847,32135,80018,3879
350000,234821,32767,82412,3887
360000,241878,33401,84721,3897
370000,248811,34089,87100,3905
380000,255758,34721,89521,3919
390000,262724,35377,91899,3927
400000,269740,36004,94256,3943
410000,276653,36672,96675,3956
420000,283614,37310,99076,3969
430000,290592,37961,101447,3981
440000,297596,38614,103790,3987
450000,304585,39281,106134,3999
460000,311571,39951,108478,4008
470000,318617,40514,110869,4012
480000,325553,41162,113285,4019
490000,332501,41845,115654,4027
500000,339514,42482,118004,4032
510000,346575,43137,120288,4036
520000,353590,43731,122679,4042
530000,360594,44353,125053,4047
540000,367602,44977,127421,4053
550000,374495,45631,129874,4058
560000,381537,46247,132216,4061
570000,388604,46896,134500,4061
580000,395594,47499,136907,4065
590000,402479,48180,139341,4074
600000,409460,48761,141779,4078
610000,416459,49347,144194,4082
620000,423453,49970,146577,4086
630000,430434,50611,148955,4091
640000,437547,51236,151217,4093
650000,444550,51853,153597,4098
660000,451554,52493,155953,4103
670000,458636,53098,158266,4107
680000,465567,53709,160724,4108
690000,472545,54322,163133,4108
700000,479679,54922,165399,4113
710000,486750,55546,167704,4121
720000,493749,56204,170047,4121
730000,500722,56813,172465,4124
740000,507757,57422,174821,4129
750000,514747,58083,177170,4132
760000,521857,58687,179456,4135
770000,528933,59322,181745,4140
780000,536093,59896,184011,4143
790000,543137,60541,186322,4146
800000,550135,61123,188742,4148
810000,557190,61714,191096,4150
820000,564269,62336,193395,4159
830000,571408,62927,195665,4161
840000,578417,63563,198020,4164
850000,585364,64158,200478,4166
860000,592335,64789,202876,4170
870000,599432,65365,205203,4173
880000,606476,65937,207587,4173
890000,613535,66503,209962,4176
900000,620499,67091,212410,4178
910000,627500,67682,214818,4179
920000,634417,68285,217298,4180
930000,641270,68937,219793,4187
940000,648368,69514,222118,4189
950000,655403,70102,224495,4191
960000,662498,70694,226808,4194
970000,669476,71275,229249,4196
980000,676450,71826,231724,4197
990000,683480,72410,234110,4201
1000000,690509,73009,236482,4204
