NumGames,TicTacToeNormalWin,TicTacToeNormalLoss,TicTacToeNormalDraw,StatesInPolicy
10000,5210,3133,1657,2355
20000,11327,5134,3539,2782
30000,17904,6603,5493,3038
40000,24612,7855,7533,3204
50000,31271,8951,9778,3351
60000,38134,10000,11866,3459
70000,45038,10967,13995,3547
80000,51902,11997,16101,3612
90000,58817,12963,18220,3665
100000,65665,13945,20390,3721
110000,72594,14900,22506,3773
120000,79561,15817,24622,3799
130000,86519,16744,26737,3847
140000,93532,17603,28865,3870
150000,100519,18505,30976,3890
160000,107526,19412,33062,3913
170000,114485,20281,35234,3938
180000,121582,21099,37319,3958
190000,128525,21935,39540,3983
200000,135505,22786,41709,3999
210000,142534,23605,43861,4013
220000,149432,24519,46049,4028
230000,156389,25348,48263,4050
240000,163442,26154,50404,4061
250000,170532,26926,52542,4079
260000,177537,27742,54721,4091
270000,184606,28508,56886,4099
280000,191665,29283,59052,4115
290000,198680,30096,61224,4124
300000,205769,30859,63372,4132
310000,212854,31579,65567,4143
320000,219862,32351,67787,4154
330000,226986,33099,69915,4165
340000,234023,33885,72092,4169
350000,241132,34587,74281,4177
360000,248140,35334,76526,4189
370000,255212,36068,78720,4204
380000,262315,36789,80896,4215
390000,269435,37547,83018,4220
400000,276494,38314,85192,4227
410000,283600,39090,87310,4237
420000,290681,39865,89454,4245
430000,297789,40593,91618,4253
440000,304824,41299,93877,4258
450000,311904,42068,96028,4264
460000,319079,42782,98139,4267
470000,326145,43549,100306,4274
480000,333251,44263,102486,4282
490000,340391,44987,104622,4285
500000,347421,45719,106860,4291
510000,354426,46454,109120,4295
520000,361588,47135,111277,4301
530000,368719,47884,113397,4305
540000,375804,48628,115568,4308
550000,382899,49343,117758,4309
560000,390014,50034,119952,4313
570000,397082,50722,122196,4314
580000,404300,51427,124273,4316
590000,411428,52122,126450,4320
600000,418536,52855,128609,4321
610000,425706,53539,130755,4322
620000,432793,54283,132924,4325
630000,440011,54937,135052,4327
640000,447193,55622,137185,4329
650000,454276,56334,139390,4330
660000,461436,57026,141538,4332
670000,468508,57732,143760,4335
680000,475618,58450,145932,4337
690000,482681,59172,148147,4338
700000,489747,59867,150386,4341
710000,496819,60565,152616,4346
720000,503987,61292,154721,4347
730000,511025,62002,156973,4348
740000,518045,62727,159228,4350
750000,525220,63402,161378,4352
760000,532344,64104,163552,4357
770000,539397,64823,165780,4360
780000,546534,65517,167949,4361
790000,553747,66199,170054,4362
800000,560863,66862,172275,4366
810000,568057,67501,174442,4368
820000,575236,68208,176556,4369
830000,582417,68901,178682,4370
840000,589605,69616,180779,4371
850000,596784,70284,182932,4374
860000,603857,70972,185171,4379
870000,611084,71661,187255,4381
880000,618231,72340,189429,4382
890000,625369,73046,191585,4383
900000,632477,73719,193804,4387
910000,639648,74395,195957,4389
920000,646768,75108,198124,4392
930000,653854,75822,200324,4393
940000,660978,76470,202552,4393
950000,668090,77165,204745,4393
960000,675280,77810,206910,4394
970000,682449,78482,209069,4394
980000,689530,79154,211316,4395
990000,696688,79833,213479,4396
1000000,703778,80489,215733,4397
