NumGames,TicTacToeNormalWin,TicTacToeNormalLoss,TicTacToeNormalDraw,StatesInPolicy
10000,5089,3208,1703,3338
20000,10890,5608,3502,3867
30000,16965,7697,5338,4096
40000,23128,9696,7176,4222
50000,29379,11575,9046,4297
60000,35646,13378,10976,4353
70000,41904,15180,12916,4401
80000,48273,16876,14851,4431
90000,54679,18614,16707,4447
100000,61166,20219,18615,4455
110000,67569,21917,20514,4464
120000,74049,23615,22336,4468
130000,80588,25231,24181,4474
140000,86991,26883,26126,4477
150000,93406,28570,28024,4482
160000,99876,30189,29935,4485
170000,106355,31758,31887,4487
180000,112865,33349,33786,4489
190000,119431,34942,35627,4492
200000,125943,36556,37501,4497
210000,132447,38122,39431,4498
220000,139011,39690,41299,4501
230000,145523,41307,43170,4504
240000,151995,42917,45088,4506
250000,158462,44482,47056,4508
260000,164996,46055,48949,4508
270000,171511,47584,50905,4510
280000,178064,49127,52809,4511
290000,184610,50732,54658,4511
300000,191136,52313,56551,4512
310000,197590,53858,58552,4513
320000,204165,55367,60468,4513
330000,210624,56964,62412,4514
340000,217218,58475,64307,4514
350000,223744,59982,66274,4514
360000,230275,61498,68227,4514
370000,236894,62984,70122,4514
380000,243426,64526,72048,4514
390000,249949,66095,73956,4515
400000,256457,67674,75869,4515
410000,263063,69232,77705,4516
420000,269705,70728,79567,4517
430000,276257,72303,81440,4517
440000,282837,73828,83335,4519
450000,289424,75373,85203,4519
460000,296003,76959,87038,4520
470000,302537,78513,88950,4520
480000,309117,80062,90821,4520
490000,315699,81574,92727,4520
500000,322194,83113,94693,4520
510000,328788,84640,96572,4520
520000,335354,86188,98458,4520
530000,341842,87741,100417,4520
540000,348407,89202,102391,4520
550000,354965,90697,104338,4520
560000,361481,92217,106302,4520
570000,368091,93715,108194,4520
580000,374659,95247,110094,4520
590000,381184,96770,112046,4520
600000,387722,98353,113925,4520
610000,394290,99856,115854,4520
620000,400940,101331,117729,4520
630000,407494,102844,119662,4520
640000,414056,104354,121590,4520
650000,420638,105886,123476,4520
660000,427165,107452,125383,4520
670000,433734,108997,127269,4520
680000,440362,110513,129125,4520
690000,446972,111990,131038,4520
700000,453619,113470,132911,4520
710000,460126,115034,134840,4520
720000,466741,116552,136707,4520
730000,473276,118080,138644,4520
740000,479827,119586,140587,4520
750000,486358,121080,142562,4520
760000,492969,122577,144454,4520
770000,499546,124113,146341,4520
780000,506091,125646,148263,4520
790000,512731,127151,150118,4520
800000,519263,128723,152014,4520
810000,525879,130231,153890,4520
820000,532498,131673,155829,4520
830000,539043,133176,157781,4520
840000,545590,134695,159715,4520
850000,552144,136254,161602,4520
860000,558751,137707,163542,4520
870000,565374,139178,165448,4520
880000,571892,140695,167413,4520
890000,578520,142128,169352,4520
900000,585074,143643,171283,4520
910000,591759,145126,173115,4520
920000,598360,146628,175012,4520
930000,604958,148128,176914,4520
940000,611570,149637,178793,4520
950000,618156,151155,180689,4520
960000,624753,152635,182612,4520
970000,631340,154095,184565,4520
980000,637943,155610,186447,4520
990000,644518,157107,188375,4520
1000000,651124,158648,190228,4520
