NumGames,TicTacToeNormalWin,TicTacToeNormalLoss,TicTacToeNormalDraw,StatesInPolicy
10000,4506,4076,1418,1971
20000,9310,7203,3487,2263
30000,14731,9620,5649,2432
40000,20406,11827,7767,2594
50000,26461,13618,9921,2704
60000,32682,15101,12217,2795
70000,39174,16412,14414,2873
80000,45760,17608,16632,2941
90000,52338,18725,18937,2994
100000,59035,19688,21277,3031
110000,65807,20598,23595,3081
120000,72659,21458,25883,3126
130000,79571,22191,28238,3162
140000,86527,22828,30645,3184
150000,93541,23482,32977,3218
160000,100562,24083,35355,3238
170000,107634,24695,37671,3262
180000,114726,25273,40001,3280
190000,121816,25856,42328,3298
200000,128863,26454,44683,3315
210000,135924,26973,47103,3334
220000,143073,27529,49398,3353
230000,150191,28098,51711,3374
240000,157223,28652,54125,3389
250000,164287,29189,56524,3417
260000,171341,29738,58921,3436
270000,178429,30286,61285,3451
280000,185529,30796,63675,3463
290000,192616,31305,66079,3479
300000,199755,31840,68405,3488
310000,206926,32339,70735,3498
320000,214070,32846,73084,3506
330000,221228,33332,75440,3520
340000,228423,33786,77791,3530
350000,235577,34261,80162,3538
360000,242639,34783,82578,3549
370000,249787,35285,84928,3558
380000,256840,35787,87373,3566
390000,264061,36254,89685,3572
400000,271217,36726,92057,3578
410000,278319,37254,94427,3582
420000,285388,37743,96869,3591
430000,292534,38237,99229,3597
440000,299646,38750,101604,3602
450000,306793,39214,103993,3611
460000,313860,39761,106379,3619
470000,320987,40244,108769,3622
480000,328091,40713,111196,3625
490000,335141,41194,113665,3630
500000,342273,41694,116033,3638
510000,349417,42136,118447,3642
520000,356473,42660,120867,3647
530000,363596,43137,123267,3651
540000,370742,43599,125659,3655
550000,377861,44082,128057,3660
560000,384967,44575,130458,3669
570000,392145,45023,132832,3674
580000,399277,45511,135212,3676
590000,406408,46005,137587,3681
600000,413542,46545,139913,3684
610000,420560,47050,142390,3689
620000,427653,47544,144803,3694
630000,434735,48069,147196,3701
640000,441841,48541,149618,3706
650000,449020,49039,151941,3707
660000,456103,49502,154395,3711
670000,463149,50007,156844,3714
680000,470303,50477,159220,3716
690000,477481,50955,161564,3722
700000,484533,51478,163989,3729
710000,491610,51975,166415,3734
720000,498745,52447,168808,3735
730000,505997,52890,171113,3739
740000,513187,53357,173456,3744
750000,520388,53835,175777,3745
760000,527525,54291,178184,3748
770000,534622,54784,180594,3752
780000,541865,55251,182884,3756
790000,548970,55763,185267,3757
800000,556071,56313,187616,3759
810000,563263,56768,189969,3764
820000,570308,57250,192442,3768
830000,577425,57729,194846,3770
840000,584564,58169,197267,3772
850000,591632,58654,199714,3777
860000,598768,59133,202099,3780
870000,605960,59599,204441,3783
880000,613153,60067,206780,3787
890000,620319,60577,209104,3789
900000,627512,61072,211416,3794
910000,634589,61533,213878,3797
920000,641670,62033,216297,3803
930000,648814,62501,218685,3810
940000,655946,62980,221074,3810
950000,663068,63487,223445,3810
960000,670236,63966,225798,3814
970000,677374,64458,228168,3818
980000,684512,64940,230548,3822
990000,691600,65393,233007,3824
1000000,698758,65893,235349,3824
