Epsilon,TicTacToeLimitedActionsWin,TicTacToeLimitedActionsLoss,TicTacToeLimitedActionsDraw,StatesInPolicy
0,428035,380203,191762,221
0.001,677279,167889,154832,1369
0.002,678817,131135,190048,1491
0.003,700186,101693,198121,1612
0.004,699626,93501,206873,1697
0.005,718733,85374,195893,1625
0.006,717967,77051,204982,1629
0.007,715907,70156,213937,1767
0.008,716542,70126,213332,1780
0.009,728111,62945,208944,1731
0.01,726777,62483,210740,1779
0.011,723364,64813,211823,1739
0.012,722187,64684,213129,1811
0.013,727109,61744,211147,1800
0.014,728937,62991,208072,1965
0.015,726230,61076,212694,1895
0.016,727449,59839,212712,1918
0.017,729196,64486,206318,1996
0.018,725576,65384,209040,1985
0.019,729408,64072,206520,2053
0.02,724555,63218,212227,1985
0.021,727874,64780,207346,2026
0.022,723712,63132,213156,2065
0.023,724487,63214,212299,2096
0.024,722439,64890,212671,2121
0.025,724318,64582,211100,2110
0.026,728472,64733,206795,2148
0.027,727104,64706,208190,2144
0.028,724282,63924,211794,2176
0.029,727593,64485,207922,2224
0.03,725480,64410,210110,2186
0.031,724729,65599,209672,2228
0.032,723673,66231,210096,2243
0.033,727141,64649,208210,2211
0.034,724097,65372,210531,2265
0.035,723084,66715,210201,2286
0.036,725966,66172,207862,2307
0.037,720917,67284,211799,2308
0.038,724012,67783,208205,2364
0.039,726151,66615,207234,2273
0.04,724268,66158,209574,2314
0.041,724865,68680,206455,2357
0.042,721189,68230,210581,2342
0.043,726120,67599,206281,2366
0.044,723258,68769,207973,2332
0.045,724825,68152,207023,2356
0.046,725327,67880,206793,2364
0.047,725848,68412,205740,2396
0.048,723255,68645,208100,2387
0.049,723758,68466,207776,2376
0.05,720055,69820,210125,2399
0.051,724937,70028,205035,2430
0.052,721771,70596,207633,2437
0.053,720954,70820,208226,2424
0.054,719093,71984,208923,2477
0.055,722402,71274,206324,2448
0.056,722666,69853,207481,2483
0.057,724041,69521,206438,2440
0.058,721812,71878,206310,2458
0.059,723157,72569,204274,2465
0.06,724262,72180,203558,2454
0.061,722605,72831,204564,2500
0.062,723712,71985,204303,2482
0.063,723254,72804,203942,2487
0.064,719113,73703,207184,2497
0.065,722980,72820,204200,2458
0.066,718193,73827,207980,2483
0.067,721399,73638,204963,2505
0.068,721931,73899,204170,2515
0.069,720671,75222,204107,2526
0.07,718903,74709,206388,2534
0.071,721434,74942,203624,2505
0.072,717152,76681,206167,2563
0.073,719036,75382,205582,2508
0.074,718143,74951,206906,2528
0.075,719263,77045,203692,2529
0.076,717186,76729,206085,2504
0.077,718594,75772,205634,2539
0.078,719998,77733,202269,2554
0.079,717725,77590,204685,2573
0.08,718841,76738,204421,2548
0.081,717655,78086,204259,2546
0.082,718223,78189,203588,2567
0.083,717378,79160,203462,2575
0.084,719459,78793,201748,2572
0.085,718963,79029,202008,2582
0.086,719817,79218,200965,2549
0.087,715742,79985,204273,2577
0.088,714581,79768,205651,2582
0.089,717123,79735,203142,2567
0.09,717927,80448,201625,2587
0.091,716129,80335,203536,2604
0.092,717132,81303,201565,2567
0.093,715875,82056,202069,2597
0.094,714740,81838,203422,2579
0.095,714932,81993,203075,2601
0.096,717634,81836,200530,2597
0.097,714629,82428,202943,2604
0.098,715830,82652,201518,2608
0.099,716371,83356,200273,2603
0.1,714888,83576,201536,2595
