Epsilon,TicTacToeNormalWin,TicTacToeNormalLoss,TicTacToeNormalDraw,StatesInPolicy
0,120937,148647,50416,849
0.01,198037,47055,74908,3162
0.02,214332,32479,73189,3508
0.03,218633,30748,70619,3630
0.04,224007,29258,66735,3866
0.05,217698,29718,72584,3937
0.06,219461,30837,69702,4022
0.07,218338,30943,70719,4160
0.08,224137,31339,64524,4123
0.09,220213,32694,67093,4223
0.1,218305,32737,68958,4267
0.11,214076,34540,71384,4306
0.12,218019,35163,66818,4320
0.13,218107,36337,65556,4347
0.14,215887,36620,67493,4385
0.15,214466,38012,67522,4402
0.16,212331,40321,67348,4413
0.17,212792,40414,66794,4427
0.18,218727,40297,60976,4446
0.19,215201,41659,63140,4442
0.2,216328,42675,60997,4459
0.21,211079,43765,65156,4477
0.22,211940,44961,63099,4477
0.23,212523,45523,61954,4495
0.24,211032,46767,62201,4487
0.25,210190,47670,62140,4491
0.26,207908,48369,63723,4500
0.27,211027,49515,59458,4503
0.28,209409,50119,60472,4510
0.29,207366,51494,61140,4499
0.3,208792,52916,58292,4512
0.31,207462,53622,58916,4516
0.32,205767,54685,59548,4517
0.33,205896,56025,58079,4514
0.34,206193,57187,56620,4519
0.35,206037,57458,56505,4518
0.36,204475,58952,56573,4519
0.37,202409,60618,56973,4518
0.38,201583,61359,57058,4520
0.39,202766,62374,54860,4520
0.4,201461,63791,54748,4519
0.41,200444,64470,55086,4520
0.42,199217,65766,55017,4520
0.43,199664,66497,53839,4520
0.44,197404,68140,54456,4520
0.45,197639,68393,53968,4520
0.46,196787,69991,53222,4520
0.47,195776,71404,52820,4520
0.48,194091,72555,53354,4520
0.49,195324,73391,51285,4520
0.5,192044,75272,52684,4520
0.51,191952,76344,51704,4520
0.52,191463,77758,50779,4520
0.53,190841,78255,50904,4520
0.54,190031,79121,50848,4520
0.55,188758,80855,50387,4520
0.56,187995,81822,50183,4520
0.57,187319,83387,49294,4520
0.58,187030,84241,48729,4520
0.59,185859,85776,48365,4520
0.6,184271,87218,48511,4520
0.61,184216,87679,48105,4520
0.62,182447,89644,47909,4520
0.63,182455,90414,47131,4520
0.64,180676,91743,47581,4520
0.65,179970,93193,46837,4520
0.66,179252,93623,47125,4520
0.67,178054,95694,46252,4520
0.68,176891,96975,46134,4520
0.69,176183,98041,45776,4520
0.7,175474,98817,45709,4520
0.71,173528,100724,45748,4520
0.72,172651,102254,45095,4520
0.73,171871,103158,44971,4520
0.74,171252,104425,44323,4520
0.75,170002,105628,44370,4520
0.76,168952,107020,44028,4520
0.77,167754,108342,43904,4520
0.78,166246,110160,43594,4520
0.79,165189,111371,43440,4520
0.8,164153,112427,43420,4520
0.81,162323,114599,43078,4520
0.82,161152,115469,43379,4520
0.83,160899,116380,42721,4520
0.84,159169,118078,42753,4520
0.85,158662,119043,42295,4520
0.86,156755,120914,42331,4520
0.87,155494,122417,42089,4520
0.88,155194,123147,41659,4520
0.89,153276,124990,41734,4520
0.9,152267,126163,41570,4520
0.91,151271,127231,41498,4520
0.92,149380,128707,41913,4520
0.93,148404,130375,41221,4520
0.94,147372,131334,41294,4520
0.95,145642,133173,41185,4520
0.96,144709,134349,40942,4520
0.97,143175,135879,40946,4520
0.98,142163,136792,41045,4520
0.99,141300,138129,40571,4520
1,139547,139809,40644,4520
